id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
107,10,T3.2,6,4.59293627817,1290.0,1890.0,10050,1006,NA,593.931618012,803.601521142,1165.4733627,1558.60443107
107,10,T7,6,4.8016461139,1290.0,1890.0,10050,1006,NA,593.931618012,803.601521142,1165.4733627,1558.60443107
108,1,MS,13,13.0,NA,NA,1131,113,1.0,178.838053191,327.858896981,654.47378103,933.907462103
108,4,T1,10,10.0,NA,NA,4101,410,1.0,410.710929763,566.907804577,752.391593418,1045.26073369
108,5,T2,9,5.84032803502,1171.0,1771.0,5060,509,NA,606.835612886,746.615548305,912.604221616,1174.69160053
108,7,T2.0,8,8.0,NA,NA,7081,708,1.0,396.06747275,591.313566267,823.168302318,1189.25472766
108,10,T1.4,6,5.54252105535,1379.0,1979.0,10060,1006,NA,580.626874994,790.296778124,1152.16861969,1545.29968805
108,10,T2.0.1,6,5.58184025125,1379.0,1979.0,10060,1006,NA,580.626874994,790.296778124,1152.16861969,1545.29968805
109,1,MS,13,13.0,NA,NA,1131,113,1.0,169.498079326,318.518923116,645.133807165,924.567488238
109,5,T2,10,6.93439753428,1206.0,1806.0,5070,510,NA,602.737386599,728.539328476,877.929134456,1113.80777548
109,10,T2.3,6,5.85182510694,1425.0,2025.0,10060,1006,NA,571.286901129,780.956804259,1142.82864582,1535.95971419
109,10,T7,7,6.31415112548,1370.0,1970.0,10070,1007,NA,582.519217368,762.236277194,979.08230071,1316.05178788
110,1,MS,13,13.0,NA,NA,1131,113,1.0,191.458430741,340.47927453,667.09415858,946.527839653
110,4,T1,10,10.0,NA,NA,4101,410,1.0,423.331307313,579.528182126,765.011970967,1057.88111124
110,6,T1.0,9,5.37875509355,1088.0,1688.0,6060,609,NA,619.455990435,759.235925855,925.224599165,1187.31197808
110,6,T3,9,4.89026320918,1088.0,1688.0,6050,609,NA,619.455990435,759.235925855,925.224599165,1187.31197808
110,10,T7,7,4.73834079187,1193.0,1793.0,10050,1007,NA,604.479568783,784.196628608,1001.04265212,1338.0121393
111,1,MS,13,13.0,NA,NA,1131,113,1.0,180.196998596,329.217842386,655.832726435,935.266407508
111,4,T1,10,10.0,NA,NA,4101,410,1.0,412.069875168,568.266749982,753.750538823,1046.6196791
111,5,T2,10,5.77702271298,1115.0,1715.0,5060,510,NA,613.436305869,739.238247747,888.628053726,1124.50669475
111,6,T1.0,8,5.93764383159,1217.0,1817.0,6060,608,NA,601.642373818,758.894801165,945.63205864,1240.48035992
111,6,T3,9,5.64573644418,1154.0,1754.0,6060,609,NA,608.194558291,747.97449371,913.963167021,1176.05054593
111,10,T1.4,7,5.81516712266,1296.0,1896.0,10060,1007,NA,593.218136638,772.935196464,989.78121998,1326.75070715
112,1,MS,12,12.0,NA,NA,1121,112,1.0,176.129248617,337.56628662,661.73355477,964.428001026
112,4,T1,9,9.0,NA,NA,4091,409,1.0,406.133424132,579.685507259,785.778605971,1111.18876183
112,5,T2,9,5.57705705918,1148.0,1748.0,5060,509,NA,608.766310372,748.546245791,914.534919102,1176.62229801
112,6,T1.0,8,5.87488648779,1210.0,1810.0,6060,608,NA,602.214125899,759.466553246,946.203810721,1241.052112
