treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution
T1	Mercia	2011	1	200	240	19	F2	0,448	8
T1	Mercia	2011	1	200	240	19	F3	0,665	2
T1	Mercia	2011	1	200	240	20	F1	0,664	4
T1	Mercia	2011	1	200	240	20	F2	0,569	4
T1	Mercia	2011	1	200	240	20	F3	0,828	2
T1	Rht3	2011	1	40	240	1	F1	0,776	2
T1	Rht3	2011	1	40	240	1	F2	0,381	2
T1	Rht3	2011	1	40	240	1	F3	0,425	2
T1	Rht3	2011	1	40	240	2	F1	0,422	2
T1	Rht3	2011	1	40	240	2	F2	0,601	2
T1	Rht3	2011	1	40	240	2	F3	0,412	2
T1	Rht3	2011	1	40	240	3	F1	0,165	2
T1	Rht3	2011	1	40	240	3	F2	0,183	2
T1	Rht3	2011	1	40	240	3	F3	0,12	2
T1	Rht3	2011	1	40	240	4	F1	0,35	2
T1	Rht3	2011	1	40	240	4	F2	0,562	2
T1	Rht3	2011	1	40	240	4	F3	0,537	2
T1	Rht3	2011	1	40	240	5	F1	0,442	2
T1	Rht3	2011	1	40	240	5	F2	0,556	2
T1	Rht3	2011	1	40	240	5	F3	0,328	2
T1	Rht3	2011	1	40	240	6	F1	0,291	2
T1	Rht3	2011	1	40	240	6	F2	0,323	2
T1	Rht3	2011	1	40	240	6	F3	0,446	2
T1	Rht3	2011	1	40	240	7	F1	0,409	2
T1	Rht3	2011	1	40	240	7	F2	0,615	2
T1	Rht3	2011	1	40	240	7	F3	0,233	2
T1	Rht3	2011	1	40	240	8	F1	0,436	2
T1	Rht3	2011	1	40	240	8	F2	0,343	2
T1	Rht3	2011	1	40	240	8	F3	0,503	2
T1	Rht3	2011	1	40	240	9	F1	0,723	2
T1	Rht3	2011	1	40	240	9	F2	0,365	2
T1	Rht3	2011	1	40	240	9	F3	0,377	2
T1	Rht3	2011	1	40	240	10	F1	0,973	2
T1	Rht3	2011	1	40	240	10	F2	0,653	4
T1	Rht3	2011	1	40	240	10	F3	0,644	2
T1	Rht3	2011	1	40	240	11	F1	0,269	2
T1	Rht3	2011	1	40	240	11	F2	0,278	2
