treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution	coef
T1	Mercia	2011	1	80	240	18	F3	0,349	4	0,0448
T1	Mercia	2011	1	80	240	18	F4	0,252	1	0,0448
T1	Mercia	2011	1	80	240	19	F1	0,525	2	0,0448
T1	Mercia	2011	1	80	240	19	F2	0,564	2	0,0448
T1	Mercia	2011	1	80	240	19	F3	0,373	2	0,0448
T1	Mercia	2011	1	80	240	20	F1	0,269	4	0,0448
T1	Mercia	2011	1	80	240	20	F2	0,406	2	0,0448
T1	Mercia	2011	1	80	240	20	F3	0,46	2	0,0448
T1	Mercia	2011	1	150	240	1	F1	0,497	2	0,0448
T1	Mercia	2011	1	150	240	1	F2	0,584	2	0,0448
T1	Mercia	2011	1	150	240	1	F3	0,712	2	0,0448
T1	Mercia	2011	1	150	240	1	F4	0,234	2	0,0448
T1	Mercia	2011	1	150	240	2	F1	0,743	2	0,0448
T1	Mercia	2011	1	150	240	2	F2	0,594	4	0,0448
T1	Mercia	2011	1	150	240	2	F3	0,552	2	0,0448
T1	Mercia	2011	1	150	240	3	F1	0,542	2	0,0448
T1	Mercia	2011	1	150	240	3	F2	0,356	2	0,0448
T1	Mercia	2011	1	150	240	3	F3	0,711	2	0,0448
T1	Mercia	2011	1	150	240	4	F1	0,587	4	0,0448
T1	Mercia	2011	1	150	240	4	F2	0,681	2	0,0448
T1	Mercia	2011	1	150	240	4	F3	0,964	2	0,0448
T1	Mercia	2011	1	150	240	5	F1	0,606	8	0,0448
T1	Mercia	2011	1	150	240	5	F2	0,916	2	0,0448
T1	Mercia	2011	1	150	240	5	F3	0,265	2	0,0448
T1	Mercia	2011	1	150	240	6	F1	0,613	4	0,0448
T1	Mercia	2011	1	150	240	6	F2	0,864	4	0,0448
T1	Mercia	2011	1	150	240	6	F3	0,698	2	0,0448
T1	Mercia	2011	1	150	240	7	F1	0,841	4	0,0448
T1	Mercia	2011	1	150	240	7	F2	0,429	4	0,0448
T1	Mercia	2011	1	150	240	7	F3	0,915	2	0,0448
T1	Mercia	2011	1	150	240	7	F4	0,46	2	0,0448
T1	Mercia	2011	1	150	240	8	F1	0,377	4	0,0448
T1	Mercia	2011	1	150	240	8	F2	0,561	4	0,0448
T1	Mercia	2011	1	150	240	8	F3	0,51	2	0,0448
T1	Mercia	2011	1	150	240	9	F1	0,394	4	0,0448
T1	Mercia	2011	1	150	240	9	F2	0,383	4	0,0448
T1	Mercia	2011	1	150	240	9	F3	0,54	2	0,0448
T1	Mercia	2011	1	150	240	9	F4	0,596	2	0,0448
T1	Mercia	2011	1	150	240	10	F1	0,709	4	0,0448
T1	Mercia	2011	1	150	240	10	F2	0,857	2	0,0448
T1	Mercia	2011	1	150	240	10	F3	0,524	2	0,0448
T1	Mercia	2011	1	150	240	11	F1	0,888	2	0,0448
T1	Mercia	2011	1	150	240	11	F2	0,351	2	0,0448
T1	Mercia	2011	1	150	240	11	F3	0,343	2	0,0448
T1	Mercia	2011	1	150	240	12	F1	0,557	2	0,0448
T1	Mercia	2011	1	150	240	12	F2	0,355	2	0,0448
T1	Mercia	2011	1	150	240	12	F3	0,354	2	0,0448
T1	Mercia	2011	1	150	240	13	F1	0,518	4	0,0448
T1	Mercia	2011	1	150	240	13	F2	0,694	4	0,0448
T1	Mercia	2011	1	150	240	13	F3	0,686	2	0,0448
T1	Mercia	2011	1	150	240	14	F1	0,426	2	0,0448
T1	Mercia	2011	1	150	240	14	F2	0,393	4	0,0448
T1	Mercia	2011	1	150	240	14	F3	0,616	2	0,0448
T1	Mercia	2011	1	150	240	14	F4	0,328	2	0,0448
T1	Mercia	2011	1	150	240	15	F1	0,656	8	0,0448
T1	Mercia	2011	1	150	240	15	F2	0,385	8	0,0448
T1	Mercia	2011	1	150	240	15	F3	0,528	2	0,0448
T1	Mercia	2011	1	150	240	16	F1	0,853	4	0,0448
T1	Mercia	2011	1	150	240	16	F2	0,78	2	0,0448
T1	Mercia	2011	1	150	240	16	F3	0,496	2	0,0448
T1	Mercia	2011	1	150	240	16	F4	0,305	2	0,0448
T1	Mercia	2011	1	150	240	17	F1	0,529	4	0,0448
T1	Mercia	2011	1	150	240	17	F2	0,657	8	0,0448
T1	Mercia	2011	1	150	240	17	F3	0,365	2	0,0448
T1	Mercia	2011	1	150	240	17	F4	0,213	2	0,0448
T1	Mercia	2011	1	150	240	18	F1	0,41	2	0,0448
T1	Mercia	2011	1	150	240	18	F2	0,719	4	0,0448
T1	Mercia	2011	1	150	240	18	F3	0,567	2	0,0448
T1	Mercia	2011	1	150	240	18	F4	0,537	2	0,0448
T1	Mercia	2011	1	150	240	19	F1	0,581	4	0,0448
T1	Mercia	2011	1	150	240	19	F2	0,799	4	0,0448
T1	Mercia	2011	1	150	240	19	F3	0,648	4	0,0448
T1	Mercia	2011	1	150	240	19	F4	0,521	2	0,0448
T1	Mercia	2011	1	150	240	20	F1	0,798	8	0,0448
T1	Mercia	2011	1	150	240	20	F2	0,727	2	0,0448
T1	Mercia	2011	1	150	240	20	F3	0,781	2	0,0448
T1	Mercia	2011	1	150	240	20	F4	0,52	2	0,0448
T1	Mercia	2011	1	200	240	1	F1	0,756	2	0,0448
T1	Mercia	2011	1	200	240	1	F2	0,536	8	0,0448
T1	Mercia	2011	1	200	240	1	F3	0,577	2	0,0448
T1	Mercia	2011	1	200	240	1	F4	0,533	4	0,0448
T1	Mercia	2011	1	200	240	2	F1	0,691	2	0,0448
T1	Mercia	2011	1	200	240	2	F2	0,809	4	0,0448
T1	Mercia	2011	1	200	240	2	F3	0,699	4	0,0448
T1	Mercia	2011	1	200	240	2	F4	0,419	2	0,0448
T1	Mercia	2011	1	200	240	3	F1	0,593	2	0,0448
T1	Mercia	2011	1	200	240	3	F2	0,751	4	0,0448
T1	Mercia	2011	1	200	240	3	F3	0,734	2	0,0448
T1	Mercia	2011	1	200	240	4	F1	0,666	2	0,0448
T1	Mercia	2011	1	200	240	4	F2	0,92	2	0,0448
T1	Mercia	2011	1	200	240	4	F3	0,577	2	0,0448
T1	Mercia	2011	1	200	240	4	F4	0,717	4	0,0448
T1	Mercia	2011	1	200	240	5	F1	0,354	4	0,0448
T1	Mercia	2011	1	200	240	5	F2	0,835	2	0,0448
T1	Mercia	2011	1	200	240	5	F3	0,583	4	0,0448
T1	Mercia	2011	1	200	240	6	F1	0,671	4	0,0448
T1	Mercia	2011	1	200	240	6	F2	0,601	4	0,0448
T1	Mercia	2011	1	200	240	6	F3	0,66	2	0,0448
T1	Mercia	2011	1	200	240	7	F1	0,57	4	0,0448
T1	Mercia	2011	1	200	240	7	F2	0,441	4	0,0448
T1	Mercia	2011	1	200	240	7	F3	0,744	2	0,0448
T1	Mercia	2011	1	200	240	8	F1	0,743	4	0,0448
T1	Mercia	2011	1	200	240	8	F2	0,576	4	0,0448
T1	Mercia	2011	1	200	240	8	F3	0,785	2	0,0448
T1	Mercia	2011	1	200	240	9	F1	0,434	2	0,0448
T1	Mercia	2011	1	200	240	9	F2	0,896	4	0,0448
T1	Mercia	2011	1	200	240	9	F3	0,851	4	0,0448
T1	Mercia	2011	1	200	240	9	F4	0,616	2	0,0448
T1	Mercia	2011	1	200	240	10	F1	0,684	2	0,0448
T1	Mercia	2011	1	200	240	10	F2	0,78	2	0,0448
T1	Mercia	2011	1	200	240	10	F3	0,635	2	0,0448
T1	Mercia	2011	1	200	240	11	F1	0,493	4	0,0448
T1	Mercia	2011	1	200	240	11	F2	0,483	4	0,0448
T1	Mercia	2011	1	200	240	11	F3	0,538	2	0,0448
T1	Mercia	2011	1	200	240	12	F1	0,618	2	0,0448
T1	Mercia	2011	1	200	240	12	F2	0,644	2	0,0448
T1	Mercia	2011	1	200	240	12	F3	0,551	4	0,0448
T1	Mercia	2011	1	200	240	12	F4	0,367	2	0,0448
T1	Mercia	2011	1	200	240	13	F1	0,806	2	0,0448
T1	Mercia	2011	1	200	240	13	F2	0,672	2	0,0448
T1	Mercia	2011	1	200	240	13	F3	0,523	4	0,0448
T1	Mercia	2011	1	200	240	14	F1	0,698	4	0,0448
T1	Mercia	2011	1	200	240	14	F2	0,78	2	0,0448
T1	Mercia	2011	1	200	240	14	F3	0,428	2	0,0448
T1	Mercia	2011	1	200	240	15	F1	0,46	4	0,0448
T1	Mercia	2011	1	200	240	15	F2	0,722	4	0,0448
T1	Mercia	2011	1	200	240	15	F3	0,416	2	0,0448
T1	Mercia	2011	1	200	240	16	F1	0,902	4	0,0448
T1	Mercia	2011	1	200	240	16	F2	0,824	8	0,0448
T1	Mercia	2011	1	200	240	16	F3	0,723	8	0,0448
T1	Mercia	2011	1	200	240	17	F1	0,551	4	0,0448
T1	Mercia	2011	1	200	240	17	F2	0,471	4	0,0448
T1	Mercia	2011	1	200	240	17	F3	0,81	2	0,0448
