variety;date;bloc;plant;axis;num_leaf_bottom;num_leaf_top;fnl;green;necro_tot;necro
tremie;05/27/2013;1;4;MS;9;3;11;100;0;0
tremie;05/27/2013;1;5;MS;9;3;11;100;0;0
tremie;05/27/2013;1;6;MS;9;3;11;100;0;0
tremie;05/27/2013;1;7;MS;9;4;12;90;10;0
tremie;05/27/2013;1;8;MS;9;4;12;50;50;50
tremie;05/27/2013;1;9;MS;9;3;11;98;2;0
tremie;05/27/2013;1;10;MS;9;4;12;93;7;5
tremie;05/27/2013;1;11;MS;9;3;11;100;0;0
tremie;05/27/2013;1;12;MS;9;4;12;97;3;0
tremie;05/27/2013;1;13;MS;9;3;11;99;1;0
tremie;05/27/2013;1;14;MS;9;3;11;99;1;0
tremie;05/27/2013;1;15;MS;9;4;12;100;0;0
tremie;05/27/2013;2;16;MS;9;3;11;100;0;0
tremie;05/27/2013;2;17;MS;9;3;11;100;0;0
tremie;05/27/2013;2;18;MS;9;4;12;97;3;0
tremie;05/27/2013;2;19;MS;9;3;11;100;0;0
tremie;05/27/2013;2;20;MS;9;4;12;100;0;0
tremie;05/27/2013;2;21;MS;9;3;11;100;0;0
tremie;05/27/2013;2;22;MS;9;4;12;99;1;0
tremie;05/27/2013;2;23;MS;9;3;11;100;0;0
tremie;05/27/2013;2;24;MS;9;4;12;100;0;0
tremie;05/27/2013;2;25;MS;9;4;12;99;1;0
tremie;05/27/2013;2;26;MS;9;3;11;100;0;0
tremie;05/27/2013;2;27;MS;9;3;11;100;0;0
tremie;05/27/2013;2;28;MS;9;3;11;100;0;0
tremie;05/27/2013;2;29;MS;9;4;12;98;2;0
tremie;05/27/2013;2;30;MS;9;4;12;99;1;0
tremie;05/27/2013;3;31;MS;9;3;11;100;0;0
tremie;05/27/2013;3;32;MS;9;3;11;98;2;0
tremie;05/27/2013;3;33;MS;9;3;11;95;5;0
tremie;05/27/2013;3;34;MS;9;3;11;96;4;2
tremie;05/27/2013;3;35;MS;9;3;11;100;0;0
tremie;05/27/2013;3;36;MS;9;3;11;99;1;0
tremie;05/27/2013;3;37;MS;9;3;11;90;10;5
tremie;05/27/2013;3;38;MS;9;3;11;100;0;0
tremie;05/27/2013;3;39;MS;9;3;11;100;0;0
tremie;05/27/2013;3;40;MS;9;3;11;100;0;0
tremie;05/27/2013;3;41;MS;9;3;11;100;0;0
tremie;05/27/2013;3;42;MS;9;3;11;99;1;0
tremie;05/27/2013;3;43;MS;9;3;11;100;0;0
tremie;05/27/2013;3;44;MS;9;3;11;100;0;0
tremie;05/27/2013;3;45;MS;9;3;11;100;0;0
tremie;05/27/2013;3;1;MS;8;5;12;50;50;45
tremie;05/27/2013;3;2;MS;8;4;11;50;50;50
tremie;05/27/2013;3;3;MS;8;4;11;60;40;38
tremie;05/27/2013;3;4;MS;8;4;11;80;20;18
tremie;05/27/2013;3;5;MS;8;4;11;80;20;20
tremie;05/27/2013;3;6;MS;8;4;11;80;20;20
tremie;05/27/2013;3;7;MS;8;5;12;30;70;70
tremie;05/27/2013;3;8;MS;8;5;12;0;100;100
tremie;05/27/2013;3;9;MS;8;4;11;0;100;100
tremie;05/27/2013;3;10;MS;8;5;12;0;100;100
tremie;05/27/2013;3;11;MS;8;4;11;30;70;70
