"id_dim","rank","TT","index_rel_phytomer","L_blade","W_blade","L_sheath","W_sheath","L_internode","W_internode","N_phytomer","nff","Hcol","rank_phy"
15111,11,1076,1,10.25,1.4544,14.8,0.445,15.3,0.36,11,11,52.3,10.7766537262322
16111,1,87.0909090909091,0.0909,8.2333,0.381,2.1467,NA,NA,0,11,11,2.1467,0.872257035293209
16111,2,184.181818181818,0.1818,6.7,0.3724,2.3337,NA,NA,0,11,11,2.3337,1.84466884499378
16111,3,280.181818181818,0.2727,6.5333,0.4528,2.6328,NA,NA,0,11,11,2.6328,2.80615467930446
16111,4,375.909090909091,0.3636,8.3,0.5177,3.2351,NA,NA,0,11,11,3.2351,3.76490901976766
16111,5,472.636363636364,0.4545,9.8,0.5751,3.428,NA,NA,0,11,11,3.428,4.7336788376716
16111,6,561.363636363636,0.5455,10.2,0.7362,3.5476,NA,NA,0,11,11,3.5476,5.62232483604965
16111,7,658.090909090909,0.6364,11.3,1.0857,5.5,NA,NA,0,11,11,5.5,6.59109465395359
16111,8,754.818181818182,0.7273,14.7,1.169,8.5,0.418,1.4,0.383,11,11,9.9,7.55986447185753
16111,9,850.818181818182,0.8182,17.4,1.3436,9.1,0.436,4.3,0.346,11,11,14.8,8.5213503061682
16111,10,946.954545454545,0.9091,17.3,1.5142,9.6,0.46,8.6,0.36,11,11,23.9,9.48420188740262
16111,11,1044,1,11.75,1.5534,14.5,0.456,15,0.367,11,11,43.8,10.4561584481286
17111,1,95.0909090909091,0.0909,9.5,0.381,3.0118,NA,NA,0,11,11,3.0118,0.952380854819098
17111,2,193.272727272727,0.1818,9.4,0.3724,2.7981,NA,NA,0,11,11,2.7981,1.93571863990956
17111,3,291.181818181818,0.2727,7.8333,0.4528,3.1244,NA,NA,0,11,11,3.1244,2.91632493115255
17111,4,389.030303030303,0.3636,9.85,0.5672,3.7348,NA,NA,0,11,11,3.7348,3.89632422376277
17111,5,487.636363636364,0.4545,11.75,0.6769,4.1102,NA,NA,0,11,11,4.1102,4.88391099928264
17111,6,577.363636363636,0.5455,12.5,0.8548,5.3366,NA,NA,0,11,11,5.3366,5.78257247510143
17111,7,675.090909090909,0.6364,14,1.1691,7.7,NA,0.4333,0.356,11,11,8.1333,6.7613577704461
17111,8,773.818181818182,0.7273,16.2,1.2284,9,0.472,2.9667,0.356,11,11,12.4,7.75015854323152
17111,9,870.818181818182,0.8182,17.4,1.3436,9.6,0.437,5.5,0.365,11,11,18.5,8.72165985498293
17111,10,969.863636363636,0.9091,16.3,1.4714,10.2,0.461,10,0.39,11,11,29.1,9.71364737059039
17111,11,1068,1,10.5,1.4709,14.3,0.493,15.2,0.36,11,11,48.4,10.6965299067063
18111,1,104.181818181818,0.0909,10,0.381,3.204,NA,NA,0,11,11,3.204,1.04343064973488
18111,2,207.363636363636,0.1818,10,0.3724,3.0005,NA,NA,0,11,11,3.0005,2.07684582202903
18111,3,309.363636363636,0.2727,8.4,0.4528,3.024,NA,NA,0,11,11,3.024,3.09842452098412
18111,4,413.030303030303,0.3636,9.5333,0.5571,3.6327,NA,NA,0,11,11,3.6327,4.13669568234044
18111,5,515.787878787879,0.4545,11.8,0.6795,4.1276,NA,NA,0,11,11,4.1276,5.16586186420519
18111,6,610.060606060606,0.5455,13,0.8805,5.9992,NA,NA,0,11,11,5.9992,6.11004823748186
18111,7,712.969696969697,0.6364,15,1.2,7.3,NA,0.1,0.26,11,11,7.4,7.14073191592854
18111,8,815.727272727273,0.7273,16,1.2205,8,0.36,2.9,0.26,11,11,11,8.16989809779328
18111,9,918.636363636364,0.8182,14.1,1.3436,8.3,0.35,5.7,0.28,11,11,17,9.20058177623995
18111,10,1021.81818181818,0.9091,11.4,1.2617,9,0.343,10,0.315,11,11,27.7,10.2339969485341
18111,11,1125,1,10.6,1.4775,14.1,0.373,12.2,0.302,11,11,45,11.2674121208282
19111,1,111.136363636364,0.0909,10.3,0.381,3.5564,NA,NA,0,11,11,3.5564,1.11308374284546
19111,2,210.272727272727,0.1818,11.1,0.3724,3.1791,NA,NA,0,11,11,3.1791,2.10598175640208
19111,3,308.272727272727,0.2727,8.9,0.4528,3.4786,NA,NA,0,11,11,3.4786,3.08749854559423
19111,4,407.909090909091,0.3636,10.9667,0.6029,4.0949,NA,NA,0,11,11,4.0949,4.08540429787122
19111,5,506.636363636364,0.4545,12.8,0.7317,4.4774,NA,NA,0,11,11,4.4774,5.07420507065663
19111,6,597.212121212121,0.5455,14,0.9321,6.8606,NA,NA,0,11,11,6.8606,5.98136452733422
19111,7,696.090909090909,0.6364,16.3,1.2401,9,0.45,1.6,0.347,11,11,10.6,6.97168279670156
19111,8,794.818181818182,0.7273,18.4,1.3155,9,0.47,4,0.341,11,11,14.6,7.96048356948698
19111,9,893.727272727273,0.8182,17.2,1.3436,9.8,0.462,5.7,0.375,11,11,21.1,8.9511053381707
19111,10,992.863636363636,0.9091,14.8,1.4072,10,0.441,11.1,0.368,11,11,32.4,9.94400335172732
19111,11,1092,1,8.4,1.3322,13.8,0.443,15,0.354,11,11,51.2,10.9369013652839
20111,1,97.1363636363636,0.0909,9.0667,0.381,3.0118,NA,NA,0,11,11,3.0118,0.97286705867515
20111,2,197.272727272727,0.1818,9.4,0.3724,2.929,NA,NA,0,11,11,2.929,1.97578054967251
20111,3,296.272727272727,0.2727,8.2,0.4528,3.0927,NA,NA,0,11,11,3.0927,2.96731281630539
20111,4,396.909090909091,0.3636,9.75,0.564,3.7026,NA,NA,0,11,11,3.7026,3.97523404602312
20111,5,496.636363636364,0.4545,11.45,0.6612,4.0052,NA,NA,0,11,11,4.0052,4.97405029624927
20111,6,588.212121212121,0.5455,12.7,0.8651,5.6016,NA,NA,0,11,11,5.6016,5.8912252303676
20111,7,687.969696969697,0.6364,14.4,1.1814,8.3,0.51,0.6,0.374,11,11,8.9,6.89034497991013
20111,8,787.727272727273,0.7273,18.5,1.3195,9.5,0.523,2.8,0.374,11,11,12.9,7.88946472945266
20111,9,886.818181818182,0.8182,19.5,1.3436,9.8,0.46,5,0.403,11,11,18.2,8.88190749403471
20111,10,987.863636363636,0.9091,17.7,1.5313,11,0.444,10.4,0.412,11,11,29.8,9.89392596452364
20111,11,1088,1,12,1.57,15.9,0.48,15.2,0.407,11,11,49.9,10.896839455521
21111,1,87.1363636363636,0.0909,10.0667,0.381,3.172,NA,NA,0,11,11,3.172,0.872712284267787
21111,2,189.272727272727,0.1818,9.9,0.3724,2.9886,NA,NA,0,11,11,2.9886,1.89565673014662
21111,3,289.272727272727,0.2727,8.3667,0.4528,3.172,NA,NA,0,11,11,3.172,2.89720447422024
21111,4,391.030303030303,0.3636,10,0.572,3.7832,NA,NA,0,11,11,3.7832,3.91635517864425
21111,5,492.787878787879,0.4545,11.75,0.6769,4.1102,NA,NA,0,11,11,4.1102,4.93550588306825
21111,6,585.212121212121,0.5455,13,0.8805,6.1317,NA,NA,0,11,11,6.1317,5.86117879804539
21111,7,686.969696969697,0.6364,15.2,1.2062,9,0.42,1.3,0.337,11,11,10.3,6.88032950246939
21111,8,788.636363636364,0.7273,17.65,1.2858,8.8,0.501,4.2,0.347,11,11,14.3,7.89856970894424
21111,9,888.727272727273,0.8182,17.1,1.3436,9.1,0.454,6.2,0.383,11,11,20.8,8.90102795096702
21111,10,990.863636363636,0.9091,15,1.4158,10,0.444,11.6,0.417,11,11,33.3,9.92397239684585
21111,11,1093,1,9.5,1.4049,14.5,0.441,15.8,0.379,11,11,53.6,10.9469168427247
23110,1,91,0.1,9.8667,0.381,3.3962,NA,NA,0,10,10,3.3962,0.911408447106996
23110,2,200,0.2,10.6,0.3724,3.2505,NA,NA,0,10,10,3.2505,2.00309548814724
23110,3,308,0.3,9.1,0.4528,3.1931,NA,NA,0,10,10,3.1931,3.08476705174675
23110,4,417,0.4,10.0667,0.5741,3.8047,NA,NA,0,10,10,3.8047,4.176454092787
23110,5,526,0.5,12.15,0.6977,4.2501,NA,NA,0,10,10,4.2501,5.26814113382725
23110,6,634,0.6,13.5,0.9707,6.6618,NA,0.1333,0.313,10,10,6.7951,6.34981269742676
23110,7,743,0.7,16,1.155,9.2,0.476,2.6667,0.313,10,10,12,7.44149973846701
23110,8,852,0.8,17.2,1.1868,9,0.409,5.2,0.312,10,10,17,8.53318677950726
23110,9,961,0.9,15,1.2658,9.2,0.457,10.1,0.334,10,10,27.3,9.6248738205475
23110,10,1069,1,9.95,1.3461,13.3,0.433,15,0.346,10,10,46.4,10.706545384147
24110,1,83,0.1,9.4667,0.381,2.9156,NA,NA,0,10,10,2.9156,0.831284627581106
24110,2,186,0.2,9.1,0.3724,2.6671,NA,NA,0,10,10,2.6671,1.86287880397694
24110,3,290,0.3,7.4667,0.4528,2.95,NA,NA,0,10,10,2.95,2.9044884578135
24110,4,393,0.4,9.3,0.5496,3.5575,NA,NA,0,10,10,3.5575,3.93608263420933
24110,5,497,0.5,11.15,0.6456,3.9003,NA,NA,0,10,10,3.9003,4.9776922880459
24110,6,600,0.6,12.7,0.9412,5.6679,NA,NA,0,10,10,5.6679,6.00928646444173
24110,7,704,0.7,14.5,1.0831,8.9,0.45,1.3,0.331,10,10,10.2,7.0508961182783
24110,8,807,0.8,17.8,1.2131,9.3,0.451,4.9,0.36,10,10,15.5,8.08249029467413
24110,9,911,0.9,15.6167,1.2961,9.5,0.446,8.7,0.407,10,10,24.4,9.12409994851069
24110,10,1014,1,11.85,1.4797,14,0.503,15.4,0.406,10,10,44.3,10.1556941249065
26111,1,105.136363636364,0.0909,9.0667,0.381,3.0438,NA,NA,0,11,11,3.0438,1.05299087820104
26111,2,207.272727272727,0.1818,9.5,0.3724,2.6433,NA,NA,0,11,11,2.6433,2.07593532407987
26111,3,308.363636363636,0.2727,7.4,0.4528,3.098,NA,NA,0,11,11,3.098,3.08840904354339
26111,4,410.151515151515,0.3636,9.7667,0.5645,3.708,NA,NA,0,11,11,3.708,4.10786324728378
26111,5,512.787878787879,0.4545,11.5,0.6638,4.0227,NA,NA,0,11,11,4.0227,5.13581543188298
26111,6,606.060606060606,0.5455,13,0.8805,5.8667,NA,NA,0,11,11,5.8667,6.06998632771892
26111,7,707.969696969697,0.6364,14.8,1.1938,8.5,0.45,1.1,0.327,11,11,9.6,7.09065452872485
26111,8,809.727272727273,0.7273,17.3,1.272,8.8,0.474,4,0.337,11,11,13.9,8.10980523314886
26111,9,910.727272727273,0.8182,16.1,1.3436,8.9,0.473,6.6,0.345,11,11,20.6,9.12136845466322
26111,10,1012.86363636364,0.9091,13.3,1.343,9.7,0.411,11.6,0.363,11,11,33,10.144312900542
26111,11,1116,1,7.6,1.2794,13.5,0.406,15.1,0.355,11,11,51.9,11.1772728238616
27110,1,124,0.1,9.7,0.381,2.8836,NA,NA,0,10,10,2.8836,1.24191920265129
