operateur;MethodeAnalyse;Date d'analyse;fichier;Variete;N prelev;Date;HS;rep;N plante;id_Axe;id_Feuille;ranktop;nmax;HaunStage;Llimbe1;Lgaine;Lentrenoeud;%vert;Llimbe2;Wlimbe;A_bl;A_bl_green;stat;w0,00;w0,05;w0,10;w0,15;w0,20;w0,25;w0,30;w0,35;w0,40;w0,45;w0,50;w0,55;w0,60;w0,65;w0,70;w0,75;w0,80;w0,85;w0,90;w0,95;w1,00
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;13;MB;9;5;NaN;;;;;;13,1;1,2;12,3;12,3;1;0;0,17163;0,36437;0,50444;0,64327;0,74026;0,82804;0,95971;1,0215;1,0638;1,1417;1,1877;1,1943;1,176;1,1683;1,1587;1,1626;1,1127;1,0603;0,97878;0,75695
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;14;MB;9;6;NaN;;;;;;13,8;0,9;10,1;9,8;1;0;0,15151;0,34082;0,43487;0,51913;0,65955;0,74684;0,80434;0,82597;0,87619;0,91202;0,92491;0,9076;0,88214;0,86701;0,83027;0,81231;0,77663;0,74103;0,68156;0,39451
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;14;MB;10;5;NaN;;;;;;18,7;1;15,1;15,1;1;0;0,28841;0,45057;0,54009;0,62838;0,78372;0,86116;0,90027;0,92718;0,95225;0,9668;0,95688;0,96861;0,98648;0,97583;0,93588;0,92001;0,88513;0,84097;0,824;0,55608
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;16;MB;8;9;NaN;;;;;;15,8;0,9;10,8;10,5;1;0;0,12116;0,23906;0,37034;0,449;0,48791;0,6167;0,71925;0,8067;0,82993;0,84038;0,86442;0,8764;0,86364;0,84963;0,82862;0,80041;0,75755;0,7811;0,74448;0,64545
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;16;MB;9;8;NaN;;;;;;18,8;1,2;18,2;18,1;1;0;0,12058;0,33864;0,47497;0,59566;0,77661;0,96848;1,0561;1,1147;1,1535;1,1815;1,1876;1,1931;1,2216;1,1981;1,2052;1,1447;1,1037;1,0548;0,98879;0,63079
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;16;MB;10;7;NaN;;;;;;24,1;1,4;25,9;25,8;1;0;0,14609;0,42497;0,59328;0,73163;0,78904;0,87142;1,0315;1,1431;1,2412;1,2942;1,3074;1,3327;1,3524;1,3807;1,391;1,3243;1,2789;1,2678;1,1796;0,94313
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;17;MB;9;9;NaN;;;;;;18,5;1,1;15,8;15,8;1;0;0,19933;0,38164;0,4901;0,59225;0,68011;0,74887;0,8644;0,93934;1,0131;1,0573;1,0799;1,0942;1,0803;1,0686;1,0622;1,0242;1,0069;0,97312;0,92123;0,75741
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;17;MB;10;8;NaN;;;;;;22,4;1,4;24,7;24,5;1;0;0,25893;0,51418;0,66065;0,76067;0,85917;1,0255;1,1247;1,1971;1,264;1,3015;1,3466;1,3668;1,3906;1,3885;1,3643;1,3792;1,3398;1,2928;1,1797;1,0004
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;18;MB;8;11;NaN;;;;;;13,1;1,2;12,6;12,6;1;0;0,20972;0,38087;0,48257;0,62607;0,75196;0,85781;0,93725;0,99356;1,1039;1,1778;1,2063;1,2266;1,2316;1,2573;1,2448;1,2107;1,1893;1,1515;1,0444;0,72426
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;18;MB;9;10;NaN;;;;;;16,8;1,4;19,2;19,2;1;0;0,077563;0,36684;0,60315;0,77899;0,87849;0,93787;1,0857;1,1798;1,2538;1,3346;1,3626;1,3987;1,3956;1,4052;1,4204;1,4252;1,4124;1,3854;1,2623;1,1017
ABICHOU;Lamina2Shape;09-Aug-2012 13:59:38;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_004,tif;TREMIE;date 2;02/04/2012;10,15;NA;19;MB;9;11;NaN;;;;;;17,8;1;15;15;1;0;0,20802;0,38337;0,50243;0,62325;0,72991;0,86476;0,93195;0,98879;1,0262;1,0585;1,0374;1,0292;1,0168;0,99764;0,98878;0,97155;0,92713;0,89142;0,85019;0,56793
