variety;date;blo;plant;axis;num_leaf_bottom;num_leaf_top;fnl;green;necro_tot;length;green_length;senesced_length
tremie;13/02/2013;2;29;MS;5;;12;100;0;4.7;0;4.7
tremie;13/02/2013;2;30;MS;5;;12;100;0;4.2;0;4.2
tremie;13/02/2013;3;31;MS;5;;11;100;0;5.2;0;5.2
tremie;13/02/2013;3;32;MS;5;;11;100;0;5.2;0;5.2
tremie;13/02/2013;3;33;MS;5;;11;100;0;4.6;0;4.6
tremie;13/02/2013;3;34;MS;5;;11;100;0;7.7;0;7.7
tremie;13/02/2013;3;35;MS;5;;11;100;0;3;0;3
tremie;13/02/2013;3;36;MS;5;;11;100;0;5.7;0;5.7
tremie;13/02/2013;3;37;MS;5;;11;100;0;2;0;2
tremie;13/02/2013;3;38;MS;5;;11;100;0;1.6;0;1.6
tremie;13/02/2013;3;39;MS;5;;11;100;0;3.8;0;3.8
tremie;13/02/2013;3;40;MS;5;;11;100;0;4.1;0;4.1
tremie;13/02/2013;3;41;MS;5;;11;100;0;3.5;0;3.5
tremie;13/02/2013;3;42;MS;5;;11;100;0;3.7;0;3.7
tremie;13/02/2013;3;43;MS;5;;11;;;;;
tremie;13/02/2013;3;44;MS;5;;11;100;0;2;0;2
tremie;13/02/2013;3;45;MS;5;;11;100;0;5.5;0;5.5
tremie;19/04/2013;1;1;MS;1;;12;0;100;;;
tremie;19/04/2013;1;2;MS;1;;11;0;100;;;
tremie;19/04/2013;1;3;MS;1;;11;0;100;;;
tremie;19/04/2013;1;4;MS;1;;11;0;100;;;
tremie;19/04/2013;1;5;MS;1;;11;0;100;;;
tremie;19/04/2013;1;6;MS;1;;11;0;100;;;
tremie;19/04/2013;1;7;MS;1;;12;0;100;;;
tremie;19/04/2013;1;8;MS;1;;12;0;100;;;
tremie;19/04/2013;1;9;MS;1;;11;0;100;;;
tremie;19/04/2013;1;10;MS;1;;12;0;100;;;
tremie;19/04/2013;1;11;MS;1;;11;0;100;;;
tremie;19/04/2013;1;12;MS;1;;12;0;100;;;
tremie;19/04/2013;1;13;MS;1;;11;0;100;;;
tremie;19/04/2013;1;14;MS;1;;11;0;100;;;
tremie;19/04/2013;1;15;MS;1;;12;0;100;;;
tremie;19/04/2013;2;16;MS;1;;11;0;100;;;
tremie;19/04/2013;2;17;MS;1;;11;0;100;;;
tremie;19/04/2013;2;18;MS;1;;12;0;100;;;
tremie;19/04/2013;2;19;MS;1;;11;0;100;;;
tremie;19/04/2013;2;20;MS;1;;12;0;100;;;
tremie;19/04/2013;2;21;MS;1;;11;0;100;;;
tremie;19/04/2013;2;22;MS;1;;12;0;100;;;
tremie;19/04/2013;2;23;MS;1;;11;0;100;;;
tremie;19/04/2013;2;24;MS;1;;12;0;100;;;
tremie;19/04/2013;2;25;MS;1;;12;0;100;;;
tremie;19/04/2013;2;26;MS;1;;11;0;100;;;
tremie;19/04/2013;2;27;MS;1;;11;0;100;;;
tremie;19/04/2013;2;28;MS;1;;11;0;100;;;
tremie;19/04/2013;2;29;MS;1;;12;0;100;;;
tremie;19/04/2013;2;30;MS;1;;12;0;100;;;
tremie;19/04/2013;3;31;MS;1;;11;0;100;;;
tremie;19/04/2013;3;32;MS;1;;11;0;100;;;
tremie;19/04/2013;3;33;MS;1;;11;0;100;;;
tremie;19/04/2013;3;34;MS;1;;11;0;100;;;
tremie;19/04/2013;3;35;MS;1;;11;0;100;;;
tremie;19/04/2013;3;36;MS;1;;11;0;100;;;
tremie;19/04/2013;3;37;MS;1;;11;0;100;;;
tremie;19/04/2013;3;38;MS;1;;11;0;100;;;
tremie;19/04/2013;3;39;MS;1;;11;0;100;;;
tremie;19/04/2013;3;40;MS;1;;11;0;100;;;
tremie;19/04/2013;3;41;MS;1;;11;0;100;;;
tremie;19/04/2013;3;42;MS;1;;11;0;100;;;
tremie;19/04/2013;3;43;MS;1;;11;0;100;;;
tremie;19/04/2013;3;44;MS;1;;11;0;100;;;
tremie;19/04/2013;3;45;MS;1;;11;0;100;;;
tremie;19/04/2013;1;1;MS;2;;12;0;100;;;
tremie;19/04/2013;1;2;MS;2;;11;0;100;;;
tremie;19/04/2013;1;3;MS;2;;11;0;100;;;
tremie;19/04/2013;1;4;MS;2;;11;0;100;;;
tremie;19/04/2013;1;5;MS;2;;11;0;100;;;
tremie;19/04/2013;1;6;MS;2;;11;0;100;;;
tremie;19/04/2013;1;7;MS;2;;12;0;100;;;
tremie;19/04/2013;1;8;MS;2;;12;0;100;;;
tremie;19/04/2013;1;9;MS;2;;11;0;100;;;
tremie;19/04/2013;1;10;MS;2;;12;0;100;;;
tremie;19/04/2013;1;11;MS;2;;11;0;100;;;
tremie;19/04/2013;1;12;MS;2;;12;0;100;;;
tremie;19/04/2013;1;13;MS;2;;11;0;100;;;
tremie;19/04/2013;1;14;MS;2;;11;0;100;;;
tremie;19/04/2013;1;15;MS;2;;12;0;100;;;
tremie;19/04/2013;2;16;MS;2;;11;0;100;;;
tremie;19/04/2013;2;17;MS;2;;11;0;100;;;
tremie;19/04/2013;2;18;MS;2;;12;0;100;;;
tremie;19/04/2013;2;19;MS;2;;11;0;100;;;
tremie;19/04/2013;2;20;MS;2;;12;0;100;;;
tremie;19/04/2013;2;21;MS;2;;11;0;100;;;
tremie;19/04/2013;2;22;MS;2;;12;0;100;;;
tremie;19/04/2013;2;23;MS;2;;11;0;100;;;
tremie;19/04/2013;2;24;MS;2;;12;0;100;;;
tremie;19/04/2013;2;25;MS;2;;12;0;100;;;
tremie;19/04/2013;2;26;MS;2;;11;0;100;;;
tremie;19/04/2013;2;27;MS;2;;11;0;100;;;
tremie;19/04/2013;2;28;MS;2;;11;0;100;;;
tremie;19/04/2013;2;29;MS;2;;12;0;100;;;
tremie;19/04/2013;2;30;MS;2;;12;0;100;;;
tremie;19/04/2013;3;31;MS;2;;11;0;100;;;
tremie;19/04/2013;3;32;MS;2;;11;0;100;;;
tremie;19/04/2013;3;33;MS;2;;11;0;100;;;
tremie;19/04/2013;3;34;MS;2;;11;0;100;;;
tremie;19/04/2013;3;35;MS;2;;11;0;100;;;
tremie;19/04/2013;3;36;MS;2;;11;0;100;;;
tremie;19/04/2013;3;37;MS;2;;11;0;100;;;
tremie;19/04/2013;3;38;MS;2;;11;0;100;;;
tremie;19/04/2013;3;39;MS;2;;11;0;100;;;
tremie;19/04/2013;3;40;MS;2;;11;0;100;;;
tremie;19/04/2013;3;41;MS;2;;11;0;100;;;
tremie;19/04/2013;3;42;MS;2;;11;0;100;;;
tremie;19/04/2013;3;43;MS;2;;11;0;100;;;
tremie;19/04/2013;3;44;MS;2;;11;0;100;;;
tremie;19/04/2013;3;45;MS;2;;11;0;100;;;
tremie;19/04/2013;1;1;MS;3;;12;0;100;;;
tremie;19/04/2013;1;2;MS;3;;11;0;100;;;
tremie;19/04/2013;1;3;MS;3;;11;0;100;;;
tremie;19/04/2013;1;4;MS;3;;11;0;100;;;
tremie;19/04/2013;1;5;MS;3;;11;0;100;;;
tremie;19/04/2013;1;6;MS;3;;11;0;100;;;
tremie;19/04/2013;1;7;MS;3;;12;0;100;;;
tremie;19/04/2013;1;8;MS;3;;12;0;100;;;
tremie;19/04/2013;1;9;MS;3;;11;0;100;;;
tremie;19/04/2013;1;10;MS;3;;12;0;100;;;
tremie;19/04/2013;1;11;MS;3;;11;0;100;;;
tremie;19/04/2013;1;12;MS;3;;12;0;100;;;
tremie;19/04/2013;1;13;MS;3;;11;0;100;;;
tremie;19/04/2013;1;14;MS;3;;11;0;100;;;
tremie;19/04/2013;1;15;MS;3;;12;0;100;;;
tremie;19/04/2013;2;16;MS;3;;11;0;100;;;
tremie;19/04/2013;2;17;MS;3;;11;0;100;;;
tremie;19/04/2013;2;18;MS;3;;12;0;100;;;
tremie;19/04/2013;2;19;MS;3;;11;0;100;;;
tremie;19/04/2013;2;20;MS;3;;12;0;100;;;
tremie;19/04/2013;2;21;MS;3;;11;0;100;;;
tremie;19/04/2013;2;22;MS;3;;12;0;100;;;
tremie;19/04/2013;2;23;MS;3;;11;0;100;;;
tremie;19/04/2013;2;24;MS;3;;12;0;100;;;
tremie;19/04/2013;2;25;MS;3;;12;0;100;;;
tremie;19/04/2013;2;26;MS;3;;11;0;100;;;
tremie;19/04/2013;2;27;MS;3;;11;0;100;;;
tremie;19/04/2013;2;28;MS;3;;11;0;100;;;
tremie;19/04/2013;2;29;MS;3;;12;0;100;;;
tremie;19/04/2013;2;30;MS;3;;12;0;100;;;
tremie;19/04/2013;3;31;MS;3;;11;0;100;;;
tremie;19/04/2013;3;32;MS;3;;11;0;100;;;
tremie;19/04/2013;3;33;MS;3;;11;0;100;;;
tremie;19/04/2013;3;34;MS;3;;11;0;100;;;
tremie;19/04/2013;3;35;MS;3;;11;0;100;;;
tremie;19/04/2013;3;36;MS;3;;11;0;100;;;
tremie;19/04/2013;3;37;MS;3;;11;0;100;;;
tremie;19/04/2013;3;38;MS;3;;11;0;100;;;
tremie;19/04/2013;3;39;MS;3;;11;0;100;;;
tremie;19/04/2013;3;40;MS;3;;11;0;100;;;
tremie;19/04/2013;3;41;MS;3;;11;0;100;;;
tremie;19/04/2013;3;42;MS;3;;11;0;100;;;
tremie;19/04/2013;3;43;MS;3;;11;0;100;;;
tremie;19/04/2013;3;44;MS;3;;11;0;100;;;
tremie;19/04/2013;3;45;MS;3;;11;0;100;;;
tremie;19/04/2013;1;1;MS;4;;12;0;100;;;
tremie;19/04/2013;1;2;MS;4;;11;0;100;;;
tremie;19/04/2013;1;3;MS;4;;11;0;100;;;
tremie;19/04/2013;1;4;MS;4;;11;0;100;;;
tremie;19/04/2013;1;5;MS;4;;11;0;100;;;
tremie;19/04/2013;1;6;MS;4;;11;0;100;;;
tremie;19/04/2013;1;7;MS;4;;12;0;100;;;
tremie;19/04/2013;1;8;MS;4;;12;0;100;;;
tremie;19/04/2013;1;9;MS;4;;11;0;100;;;
tremie;19/04/2013;1;10;MS;4;;12;0;100;;;
tremie;19/04/2013;1;11;MS;4;;11;0;100;;;
