plant,rank,ranktop,HS,x,y
2,10,13,11.1,6.78,37.0
2,10,13,11.1,7.05,39.21
2,10,13,11.1,6.45,41.92
2,11,13,11.1,5.68,20.38
2,11,13,11.1,6.94,29.44
2,11,13,11.1,7.44,33.25
2,11,13,11.1,7.5,36.45
2,11,13,11.1,7.33,37.22
2,8,13,11.1,27.44,6.79
2,8,13,11.1,25.12,13.92
2,8,13,11.1,23.8,17.29
2,8,13,11.1,22.53,18.0
2,9,13,11.1,27.66,11.93
2,9,13,11.1,25.84,18.45
2,9,13,11.1,24.79,22.7
2,9,13,11.1,23.69,25.85
2,10,13,11.1,28.26,17.34
2,10,13,11.1,30.25,23.86
2,10,13,11.1,31.46,30.32
2,10,13,11.1,32.29,34.79
2,11,13,11.1,27.88,21.1
2,11,13,11.1,26.78,31.48
2,11,13,11.1,25.23,37.39
2,11,13,11.1,23.58,41.81
2,11,13,11.1,22.97,42.75
2,12,13,11.1,28.1,21.82
2,12,13,11.1,27.6,30.65
2,12,13,11.1,27.0,34.19
2,12,13,11.1,27.0,36.01
2,7,13,11.1,46.33,7.51
2,7,13,11.1,41.43,8.95
2,8,13,11.1,46.99,11.98
2,8,13,11.1,49.86,20.21
2,9,13,11.1,46.66,18.12
2,9,13,11.1,45.84,26.84
2,9,13,11.1,45.12,33.3
2,9,13,11.1,44.24,36.67
2,10,13,11.1,47.32,23.2
2,10,13,11.1,48.26,30.71
2,10,13,11.1,48.54,36.89
2,10,13,11.1,48.48,40.65
2,10,13,11.1,47.71,42.86
2,10,13,11.1,47.21,44.13
2,10,13,11.1,47.16,45.95
2,11,13,11.1,46.83,23.47
2,11,13,11.1,46.72,29.66
2,11,13,11.1,45.56,35.02
2,11,13,11.1,43.8,39.1
2,11,13,11.1,44.68,42.86
2,11,13,11.1,46.66,45.84
2,11,13,11.1,47.71,47.66
2,11,13,11.1,47.87,49.07
1,8,13,11.1,3.55,8.29
1,8,13,11.1,3.13,9.28
1,8,13,11.1,2.67,11.26
1,8,13,11.1,2.23,13.51
1,8,13,11.1,1.84,13.43
1,8,13,11.1,1.65,12.71
1,8,13,11.1,1.37,11.37
1,8,13,11.1,1.1,9.69
1,8,13,11.1,0.55,7.35
1,9,13,11.1,4.29,12.95
1,9,13,11.1,3.74,15.09
1,9,13,11.1,3.08,18.94
1,9,13,11.1,1.92,23.61
1,9,13,11.1,1.26,26.31
1,9,13,11.1,0.27,28.51
1,10,13,11.1,4.01,16.6
1,10,13,11.1,3.9,22.6
1,10,13,11.1,3.35,29.52
1,10,13,11.1,2.03,34.03
1,10,13,11.1,0.77,36.34
1,11,13,11.1,4.67,18.91
1,11,13,11.1,5.61,24.52
1,11,13,11.1,6.1,29.08
1,11,13,11.1,6.98,33.21
1,11,13,11.1,6.6,36.01
1,11,13,11.1,5.66,38.98
1,11,13,11.1,4.89,41.56
1,8,13,11.1,25.22,7.82
1,8,13,11.1,23.46,13.54
