operator	date	file	prelevement	blockA	blockB	rep	plant	tiller	id	id_Axe	rank	nmax	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-Talles-F	Talle	NaN	NaN	12,0667	0,63783	6,0802	6,0175	3	0	0,092677	0,2875	0,43048	0,48923	0,54186	0,56616	0,57708	0,63744	0,63057	0,59297	0,58733	0,57366	0,45152	0,41806	0,51646	0,53082	0,56663	0,52568	0,47214	0,40923
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-Talles-F	Talle	NaN	NaN	19,3742	1,25	18,9129	18,9042	3	0	0,0993	0,26371	0,46385	0,61098	0,72286	0,89026	1,001	1,0651	1,1256	1,1651	1,2069	1,2169	1,2408	1,1657	1,2025	1,254	1,2296	1,1677	1,0558	0,80688
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-Talles-F	Talle	NaN	NaN	17,4646	0,97159	12,0762	12,0575	3	0	0,059188	0,14022	0,26566	0,34638	0,39592	0,55137	0,70243	0,76568	0,85453	0,87324	0,88877	0,98609	0,94383	0,9488	0,91982	0,84881	0,73933	0,74973	0,83388	0,62534
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-Talles-F	Talle	NaN	NaN	14,9681	1,165	12,3426	12,3408	3	0	0,057758	0,21171	0,4077	0,56094	0,6629	0,69391	0,70829	0,70643	0,83711	0,891	0,898	0,94445	1,0017	0,96898	1,0176	1,0635	1,0923	1,1365	1,156	0,99507
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-MB-F8	MB	8	NaN	12,3082	0,65162	5,9967	0,17498	3	0	0,20807	0,21869	0,22999	0,37362	0,41121	0,44299	0,46728	0,57558	0,64259	0,65597	0,59154	0,52806	0,52246	0,55012	0,58422	0,58897	0,59808	0,56179	0,59535	0,38588
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-MB-F8	MB	8	NaN	2,3449	0,19054	0,31656	0,0071684	3	0	0,033728	0,067016	0,1021	0,1334	0,14135	0,12346	0,11976	0,10581	0,14043	0,13347	0,13669	0,13852	0,14071	0,15545	0,17772	0,17231	0,18123	0,19833	0,098986	0,093612
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-MB-F9	MB	9	NaN	16,7455	1,2731	16,191	15,4773	1	0	0,081145	0,26774	0,44748	0,63178	0,74066	0,95333	1,0616	1,0851	0,9925	1,1556	1,2657	1,2831	1,2574	1,2262	1,1996	1,1551	1,1223	1,0658	1,045	0,64921
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-MB-F10	MB	10	NaN	21,7896	1,401	24,104	23,818	1	0	0,069456	0,32641	0,5643	0,71676	0,82389	1,0048	1,1369	1,1967	1,2673	1,3051	1,3297	1,3972	1,3624	1,4088	1,3767	1,3527	1,3199	1,2944	1,2315	0,74462
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-MB-F11	MB	11	NaN	18,225	1,3851	19,1987	19,1509	1	0	0,067915	0,37744	0,56867	0,63393	0,73212	0,91385	1,0706	1,151	1,2481	1,3197	1,3416	1,3228	1,2532	1,2558	1,2182	1,3607	1,3831	1,3801	1,3088	0,71188
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-MB-F12	MB	12	NaN	10,5519	1,2936	8,903	8,9019	3	0	0,081732	0,26146	0,37164	0,45401	0,51205	0,60069	0,67739	0,7786	0,87811	0,94719	1,0059	1,0039	1,0274	1,0602	1,1184	1,0875	1,136	1,2294	1,327	1,3286
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-T-F	Talle	NaN	NaN	12,1975	0,31536	2,2872	0,037061	3	0	0,055903	0,08393	0,17607	0,12868	0,16959	0,26583	0,28576	0,26817	0,25673	0,16933	0,16139	0,16224	0,16784	0,20879	0,30335	0,29201	0,22559	0,11803	0,15191	0,18931
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-T-F	Talle	NaN	NaN	15,0341	0,75897	8,8523	8,5347	3	0	0,052827	0,095319	0,21218	0,47557	0,53336	0,56919	0,6102	0,69298	0,74079	0,75756	0,75756	0,75221	0,73802	0,7209	0,71997	0,73244	0,65582	0,66335	0,6129	0,50682
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-T-F	Talle	NaN	NaN	21,1237	1,1187	17,8394	17,722	3	0	0,079231	0,24717	0,41029	0,48645	0,61575	0,81712	0,9071	0,94588	1,0711	1,1139	1,1141	1,0556	0,81216	0,90218	1,0234	1,0883	1,0679	1,0454	1,0023	0,7593
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-T-F	Talle	NaN	NaN	22,3101	1,3871	23,4155	23,4091	3	0	0,24405	0,44015	0,56939	0,67238	0,78879	0,93941	1,028	1,1103	1,175	1,2576	1,3048	1,2668	1,3421	1,4003	1,3545	1,366	1,3613	1,2781	1,2111	1,0183
ABICHOU	09-Aug-2012 14:47:08	Boigneville_11042012_P04.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P4-T-F	Talle	NaN	NaN	8,1936	0,22007	1,3277	1,3272	3	0	0,079693	0,10962	0,13449	0,15429	0,16979	0,17012	0,16756	0,18342	0,1738	0,13545	0,09274	0,15305	0,16374	0,17874	0,19601	0,20178	0,21095	0,21325	0,21923	0,13621
ABICHOU	09-Aug-2012 14:51:40	Boigneville_11042012_P05.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P5-MB-F7	MB	7	NaN	9,3461	0,42933	2,7296	0,37204	2	0	0,085812	0,12951	0,16374	0,2136	0,27671	0,31711	0,35739	0,32182	0,29935	0,3732	0,39947	0,43658	0,38827	0,31959	0,35003	0,29311	0,30905	0,27503	0,25668	0,089501
ABICHOU	09-Aug-2012 14:51:40	Boigneville_11042012_P05.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P5-MB-F8	MB	8	NaN	12,9017	0,89268	9,125	9,07	1	0	0,24996	0,39325	0,47545	0,59751	0,70917	0,75137	0,79679	0,8277	0,86842	0,88681	0,88368	0,86658	0,87673	0,86399	0,77985	0,73671	0,76135	0,72361	0,62706	0,43693
ABICHOU	09-Aug-2012 14:51:40	Boigneville_11042012_P05.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P5-MB-F9	MB	9	NaN	18,5595	1,1514	15,9598	15,9221	1	0	0,092906	0,31955	0,44356	0,51214	0,56436	0,65076	0,77134	0,91698	1,0224	1,0963	1,163	1,1161	1,1002	1,1312	1,0904	1,0497	1,0353	0,95085	0,93647	0,85781
ABICHOU	09-Aug-2012 14:51:40	Boigneville_11042012_P05.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P5-MB-F10	MB	10	NaN	19,8058	1,3962	20,9032	20,8644	1	0	0,20482	0,40938	0,60277	0,6903	0,77029	0,86669	1,0292	1,1577	1,2237	1,2755	1,3346	1,3415	1,3613	1,3781	1,4071	1,3744	1,3034	1,2754	1,1535	1,0372
ABICHOU	09-Aug-2012 14:51:40	Boigneville_11042012_P05.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P5-MB-F11	MB	11	NaN	16,2618	1,2605	15,0866	15,0846	3	0	0,17509	0,4302	0,5699	0,63658	0,67232	0,7106	0,75496	0,78927	0,97712	1,0749	1,1321	1,17	1,2324	1,2121	1,1748	1,1626	1,1553	1,1819	1,2433	1,0265
ABICHOU	09-Aug-2012 14:51:40	Boigneville_11042012_P05.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P5-T-F	Talle	NaN	NaN	8,6356	0,39469	2,748	2,4976	3	0	0,068107	0,14298	0,26334	0,35368	0,38368	0,38596	0,36964	0,36231	0,38937	0,38134	0,35263	0,3472	0,3531	0,34533	0,33374	0,2934	0,22749	0,27199	0,27562	0,32778
ABICHOU	09-Aug-2012 14:51:40	Boigneville_11042012_P05.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P5-T-F	Talle	NaN	NaN	14,7976	0,67487	7,5497	7,5465	3	0	0,12359	0,21345	0,24994	0,30118	0,3669	0,4594	0,51342	0,58974	0,61245	0,64111	0,62002	0,64245	0,68034	0,66875	0,65266	0,64945	0,62657	0,61562	0,55819	0,36858
ABICHOU	09-Aug-2012 14:51:40	Boigneville_11042012_P05.tif	11/04/2012	1	NaN	NaN	4	TREMIE	P5-T-F	Talle	NaN	NaN	19,0055	0,97501	12,507	12,5035	3	0	0,1319	0,32787	0,40401	0,45317	0,47998	0,5092	0,60398	0,67015	0,6824	0,67453	0,68477	0,68357	0,72695	0,82737	0,91907	0,99142	0,94613	0,86318	0,83263	0,70339
