operator	date	file	prelevement	blockA	blockB	rep	plant	id_Axe	id	rank	nmax	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	17	MB	P17-MB-F10	10	NaN	22,3799	1,396	24,6641	24,5379	1	0	0,25893	0,51418	0,66065	0,76067	0,85917	1,0255	1,1247	1,1971	1,264	1,3015	1,3466	1,3668	1,3906	1,3885	1,3643	1,3792	1,3398	1,2928	1,1797	1,0004
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	18	MB	P18-MB-F8	8	NaN	13,0824	1,2484	12,6443	12,5518	1	0	0,20972	0,38087	0,48257	0,62607	0,75196	0,85781	0,93725	0,99356	1,1039	1,1778	1,2063	1,2266	1,2316	1,2573	1,2448	1,2107	1,1893	1,1515	1,0444	0,72426
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	18	MB	P18-MB-F9	9	NaN	16,8052	1,4241	19,2364	19,1569	1	0	0,077563	0,36684	0,60315	0,77899	0,87849	0,93787	1,0857	1,1798	1,2538	1,3346	1,3626	1,3987	1,3956	1,4052	1,4204	1,4252	1,4124	1,3854	1,2623	1,1017
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	19	MB	P19-MB-F9	9	NaN	17,8417	1,0495	15,0133	14,9656	1	0	0,20802	0,38337	0,50243	0,62325	0,72991	0,86476	0,93195	0,98879	1,0262	1,0585	1,0374	1,0292	1,0168	0,99764	0,98878	0,97155	0,92713	0,89142	0,85019	0,56793
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	19	MB	P19-MB-F10	10	NaN	22,4343	1,1765	21,3923	21,3741	1	0	0,11584	0,40449	0,57163	0,67216	0,75666	0,94282	0,99572	1,0688	1,1262	1,1628	1,1615	1,1729	1,1615	1,0758	1,0902	1,1	1,1269	1,0945	1,031	0,86233
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	20	MB	P20-MB-F9	9	NaN	16,1898	1,0893	14,0919	13,936	1	0	0,089493	0,29615	0,45812	0,60975	0,739	0,81002	0,84909	0,94494	1,0226	1,0602	1,0642	1,0946	1,0591	1,065	1,0431	1,022	0,97575	0,91177	0,88541	0,73959
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	20	MB	P20-MB-F10	10	NaN	18,6424	1,2884	18,6752	18,5966	3	0	0,25996	0,35285	0,42298	0,50077	0,82002	0,94952	1,0734	1,1516	1,212	1,2517	1,2895	1,2774	1,2815	1,2591	1,232	1,2117	1,1831	1,1332	1,0693	0,80911
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	25	MB	P25-MB-F8	8	NaN	15,4328	0,89769	11,3927	11,2534	1	0	0,21663	0,34954	0,49053	0,62999	0,68501	0,722	0,79525	0,85547	0,88959	0,89993	0,8979	0,88766	0,86893	0,83733	0,8168	0,82785	0,81343	0,77833	0,78322	0,5197
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	25	MB	P25-MB-F9	9	NaN	18,8245	1,1237	16,0236	15,5499	1	0	0,13982	0,32311	0,44846	0,53649	0,62969	0,70649	0,79704	0,8584	0,98968	1,0292	1,1109	1,1172	1,109	1,0734	1,0329	1,0693	1,0419	1,0174	0,97147	0,55173
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	26	MB	P26-MB-F8	8	NaN	13,9517	0,75333	8,2686	6,6363	2	0	0,21338	0,30666	0,34892	0,39369	0,50039	0,52081	0,58813	0,67092	0,72574	0,74013	0,72179	0,65242	0,69983	0,75842	0,72856	0,7141	0,70904	0,6662	0,61119	0,41657
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	26	MB	P26-MB-F9	9	NaN	16,0303	1,0307	12,9112	12,6299	1	0	0,13053	0,28335	0,39901	0,53217	0,6625	0,79531	0,84147	0,85919	0,8659	0,89818	1,0085	0,99737	1,0155	1,0321	1,0119	0,96836	0,95828	0,95106	0,88251	0,60169
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	26	MB	P26-MB-F10	10	NaN	21,3634	1,3226	21,9653	21,9244	1	0	0,11309	0,37165	0,53753	0,68425	0,76352	0,86049	1,0441	1,1272	1,1967	1,2291	1,262	1,3024	1,334	1,3071	1,2753	1,2491	1,2297	1,1687	1,1012	0,9822
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	27	MB	P27-MB-F8	8	NaN	16,6996	1,1641	14,9058	14,6521	1	0	0,09245	0,32215	0,46057	0,59334	0,71917	0,79677	0,91925	1,0189	1,066	1,1348	1,1641	1,1619	1,1158	1,0904	1,0689	1,0362	1,0129	0,97885	0,91099	0,6988
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	27	MB	P27-MB-F9	9	NaN	20,0346	1,3106	21,2647	21,1747	1	0	0,28607	0,50182	0,65498	0,77851	0,84962	1,0365	1,1429	1,1964	1,2527	1,2909	1,3096	1,3069	1,3035	1,2722	1,2758	1,2741	1,2668	1,2033	1,1272	0,76369
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	28	MB	P28-MB-F8	8	NaN	14,2028	1,0659	10,9312	7,7858	2	0	0,13137	0,14281	0,29575	0,41248	0,51139	0,66253	0,78292	0,92499	1,0157	1,0749	1,0534	1,0286	1,018	0,98913	0,93622	0,93199	0,90402	0,84935	0,76884	0,56662
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	28	MB	P28-MB-F9	9	NaN	16,8658	1,2427	16,7081	16,5497	1	0	0,08282	0,34517	0,54962	0,70899	0,81274	0,89242	0,9365	1,0771	1,1392	1,1833	1,2298	1,251	1,2314	1,2076	1,2095	1,1716	1,1717	1,1584	1,0684	0,78306
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	28	MB	P28-MB-F10	10	NaN	21,5941	1,5219	25,7086	25,6425	1	0	0,38757	0,62468	0,7745	0,85118	0,94916	1,1336	1,2566	1,3233	1,3729	1,4208	1,4959	1,5082	1,5292	1,5183	1,5108	1,4503	1,4124	1,3376	1,203	0,86933
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	29	MB	P29-MB-F7	7	NaN	13,711	0,77683	7,9315	5,6458	2	0	0,081223	0,21988	0,27726	0,323	0,3519	0,39085	0,45831	0,61547	0,67879	0,70693	0,73081	0,76148	0,77616	0,77794	0,76171	0,7499	0,69677	0,66883	0,64871	0,59242
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	29	MB	P29-MB-F8	8	NaN	16,0361	1,0815	14,0747	14,0012	1	0	0,094646	0,3366	0,46614	0,60634	0,72654	0,80985	0,93933	1,0142	1,0536	1,0575	1,0839	1,0717	1,0742	1,0331	1,0241	1,0254	0,99036	0,9575	0,89889	0,75749
ABICHOU	09-Aug-2012 14:07:13	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_005.tif	02/04/2012	1	NaN	NaN	29	MB	P29-MB-F9	9	NaN	20,248	1,2196	20,041	19,9812	1	0	0,2379	0,464	0,62461	0,70728	0,77868	0,96566	1,053	1,0987	1,1265	1,1709	1,2105	1,2275	1,1867	1,1688	1,1701	1,1637	1,1813	1,1647	1,0742	0,80913
