"Date","label","Rep","N","Axis","nff","HS","SSI","GL","SSIap","GLap"
"31/05/2012","Tremie12",2,18,"MS",13,13,10.34,2.66,NA,NA
"03/04/2012","Tremie12",2,19,"MS",13,NA,6.2,NA,6.2,NA
"03/05/2012","Tremie12",2,19,"MS",13,NA,8.02,NA,NA,NA
"09/05/2012","Tremie12",2,19,"MS",13,13,8.08,4.92,NA,NA
"11/04/2012","Tremie12",2,19,"MS",13,NA,7,NA,NA,NA
"12/06/2012","Tremie12",2,19,"MS",13,13,11.27,1.73,NA,NA
"16/05/2012","Tremie12",2,19,"MS",13,13,8.3,4.7,NA,NA
"25/05/2012","Tremie12",2,19,"MS",13,13,9.24,3.76,NA,NA
"26/04/2012","Tremie12",2,19,"MS",13,NA,7.2,NA,NA,NA
"31/05/2012","Tremie12",2,19,"MS",13,13,10.32,2.68,NA,NA
"03/04/2012","Tremie12",2,20,"MS",13,NA,7,NA,7.1,NA
"03/05/2012","Tremie12",2,20,"MS",13,13,7.9,5.1,NA,NA
"09/05/2012","Tremie12",2,20,"MS",13,13,8.2,4.8,NA,NA
"11/04/2012","Tremie12",2,20,"MS",13,NA,7.12,NA,NA,NA
"12/06/2012","Tremie12",2,20,"MS",13,13,11.42,1.58,NA,NA
"16/05/2012","Tremie12",2,20,"MS",13,13,8.23,4.77,NA,NA
"25/05/2012","Tremie12",2,20,"MS",13,13,8.37,4.63,NA,NA
"26/04/2012","Tremie12",2,20,"MS",13,NA,7.42,NA,NA,NA
"31/05/2012","Tremie12",2,20,"MS",13,13,10.28,2.72,NA,NA
"03/04/2012","Tremie12",3,21,"MS",13,NA,6.9,NA,7.1,NA
"03/05/2012","Tremie12",3,21,"MS",13,13,8.43,4.57,NA,NA
"09/05/2012","Tremie12",3,21,"MS",13,13,8.65,4.35,NA,NA
"11/04/2012","Tremie12",3,21,"MS",13,NA,7.4,NA,NA,NA
"12/06/2012","Tremie12",3,21,"MS",13,13,11.75,1.25,NA,NA
"16/05/2012","Tremie12",3,21,"MS",13,13,8.85,4.15,NA,NA
"25/05/2012","Tremie12",3,21,"MS",13,13,10.01,2.99,NA,NA
"26/04/2012","Tremie12",3,21,"MS",13,NA,7.6,NA,NA,NA
"31/05/2012","Tremie12",3,21,"MS",13,13,10.97,2.03,NA,NA
"03/04/2012","Tremie12",3,22,"MS",13,NA,6.8,NA,6.8,NA
"03/05/2012","Tremie12",3,22,"MS",13,NA,7.4,NA,NA,NA
"09/05/2012","Tremie12",3,22,"MS",13,13,8.12,4.88,NA,NA
"11/04/2012","Tremie12",3,22,"MS",13,NA,7,NA,NA,NA
"12/06/2012","Tremie12",3,22,"MS",13,13,11.34,1.66,NA,NA
"16/05/2012","Tremie12",3,22,"MS",13,13,8.27,4.73,NA,NA
"25/05/2012","Tremie12",3,22,"MS",13,13,9.05,3.95,NA,NA
"26/04/2012","Tremie12",3,22,"MS",13,NA,7.3,NA,NA,NA
"31/05/2012","Tremie12",3,22,"MS",13,13,10.58,2.42,NA,NA
"03/04/2012","Tremie12",3,23,"MS",13,NA,7.3,NA,6.9,NA
"03/05/2012","Tremie12",3,23,"MS",13,13,8.1,4.9,NA,NA
"09/05/2012","Tremie12",3,23,"MS",13,13,NA,NA,NA,NA
"11/04/2012","Tremie12",3,23,"MS",13,NA,6.7,NA,NA,NA
"12/06/2012","Tremie12",3,23,"MS",13,13,12.05,0.949999999999999,NA,NA
"16/05/2012","Tremie12",3,23,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",3,23,"MS",13,13,9.72,3.28,NA,NA
"26/04/2012","Tremie12",3,23,"MS",13,NA,7.6,NA,NA,NA
"31/05/2012","Tremie12",3,23,"MS",13,13,10.95,2.05,NA,NA
"03/04/2012","Tremie12",3,24,"MS",13,NA,6.9,NA,7,NA
"03/05/2012","Tremie12",3,24,"MS",13,13,8.47,4.53,NA,NA
"09/05/2012","Tremie12",3,24,"MS",13,13,8.5,4.5,NA,NA
"11/04/2012","Tremie12",3,24,"MS",13,NA,7.32,NA,NA,NA
"12/06/2012","Tremie12",3,24,"MS",13,13,11.62,1.38,NA,NA
"16/05/2012","Tremie12",3,24,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",3,24,"MS",13,13,10.1,2.9,NA,NA
"26/04/2012","Tremie12",3,24,"MS",13,NA,8.1,NA,NA,NA
"31/05/2012","Tremie12",3,24,"MS",13,13,10.51,2.49,NA,NA
"03/04/2012","Tremie12",3,25,"MS",13,NA,6.4,NA,6.4,NA
"03/05/2012","Tremie12",3,25,"MS",13,13,7.77,5.23,NA,NA
"09/05/2012","Tremie12",3,25,"MS",13,13,8.1,4.9,NA,NA
"11/04/2012","Tremie12",3,25,"MS",13,NA,7.05,NA,NA,NA
"12/06/2012","Tremie12",3,25,"MS",13,13,11.89,1.11,NA,NA
"16/05/2012","Tremie12",3,25,"MS",13,13,9.15,3.85,NA,NA
"25/05/2012","Tremie12",3,25,"MS",13,13,9.37,3.63,NA,NA
"26/04/2012","Tremie12",3,25,"MS",13,NA,7.2,NA,NA,NA
"31/05/2012","Tremie12",3,25,"MS",13,13,10.62,2.38,NA,NA
"03/04/2012","Tremie12",3,26,"MS",13,NA,7.2,NA,7,NA
"03/05/2012","Tremie12",3,26,"MS",13,NA,7.62,NA,NA,NA
"09/05/2012","Tremie12",3,26,"MS",13,13,8.35,4.65,NA,NA
"11/04/2012","Tremie12",3,26,"MS",13,NA,7.1,NA,NA,NA
"12/06/2012","Tremie12",3,26,"MS",13,13,11.66,1.34,NA,NA
"16/05/2012","Tremie12",3,26,"MS",13,13,9.11,3.89,NA,NA
"25/05/2012","Tremie12",3,26,"MS",13,13,9.53,3.47,NA,NA
"26/04/2012","Tremie12",3,26,"MS",13,NA,7.3,NA,NA,NA
"31/05/2012","Tremie12",3,26,"MS",13,13,10.72,2.28,NA,NA
"03/04/2012","Tremie12",3,27,"MS",13,NA,7,NA,7,NA
"03/05/2012","Tremie12",3,27,"MS",13,13,7.73,5.27,NA,NA
"09/05/2012","Tremie12",3,27,"MS",13,13,8.25,4.75,NA,NA
"11/04/2012","Tremie12",3,27,"MS",13,NA,7,NA,NA,NA
"12/06/2012","Tremie12",3,27,"MS",13,13,12,1,NA,NA
"16/05/2012","Tremie12",3,27,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",3,27,"MS",13,13,9.21,3.79,NA,NA
"26/04/2012","Tremie12",3,27,"MS",13,NA,7.08,NA,NA,NA
"31/05/2012","Tremie12",3,27,"MS",13,13,10.72,2.28,NA,NA
"03/04/2012","Tremie12",3,28,"MS",12,NA,6.9,NA,7,NA
"03/05/2012","Tremie12",3,28,"MS",12,12,8.23,3.77,NA,NA
"09/05/2012","Tremie12",3,28,"MS",12,12,8.3,3.7,NA,NA
"11/04/2012","Tremie12",3,28,"MS",12,NA,7.1,NA,NA,NA
"12/06/2012","Tremie12",3,28,"MS",12,12,11.2,0.800000000000001,NA,NA
"16/05/2012","Tremie12",3,28,"MS",12,12,8.5,3.5,NA,NA
"25/05/2012","Tremie12",3,28,"MS",12,12,9.17,2.83,NA,NA
"26/04/2012","Tremie12",3,28,"MS",12,NA,7.5,NA,NA,NA
"31/05/2012","Tremie12",3,28,"MS",12,12,10.17,1.83,NA,NA
"03/04/2012","Tremie12",3,29,"MS",13,NA,6.97,NA,7,NA
"03/05/2012","Tremie12",3,29,"MS",13,13,8.25,4.75,NA,NA
"09/05/2012","Tremie12",3,29,"MS",13,13,9,4,NA,NA
"11/04/2012","Tremie12",3,29,"MS",13,NA,7.32,NA,NA,NA
"12/06/2012","Tremie12",3,29,"MS",13,13,11.78,1.22,NA,NA
"16/05/2012","Tremie12",3,29,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",3,29,"MS",13,13,10.08,2.92,NA,NA
"26/04/2012","Tremie12",3,29,"MS",13,NA,8.04,NA,NA,NA
"31/05/2012","Tremie12",3,29,"MS",13,13,10.71,2.29,NA,NA
"03/04/2012","Tremie12",3,30,"MS",13,NA,6.95,NA,7.05,NA
