"inerv","label","Source","plant","rank","ranktop","relative_ranktop","Nflig","HS","age","lmax","wmax","A","Agr","mass","stat","phiP"
195,"Soissons","field_130410",35,7,6,4,8,9,3,8.9016,0.72609,5.28,5.1722,0.0222,1,1.57025153015568
196,"Soissons","field_130410",35,9,4,2,8,9,1,17.5865,1.2453,16.1279,16.117,NA,3,1.57025153015568
197,"Soissons","field_130410",35,6,7,5,8,9,4,7.3928,0.61612,3.4014,2.7021,NA,2,1.57025153015568
198,"Soissons","field_130410",38,9,4,1,8,8.73798941800531,0.737989418005309,11.5407,0.96767,8.2425,8.2411,NA,3,1.42058738313465
199,"Soissons","field_130410",38,8,5,2,8,8.73798941800531,1.73798941800531,12.2466,0.84013,8.0117,7.9899,0.0337,1,1.42058738313465
200,"Soissons","field_130410",38,6,7,4,8,8.73798941800531,3.73798941800531,7.5121,0.48984,2.9966,2.8412,NA,1,1.42058738313465
201,"Soissons","field_130410",38,7,6,3,8,8.73798941800531,2.73798941800531,8.7624,0.66103,4.493,4.4638,0.0184,1,1.42058738313465
202,"Soissons","field_130410",40,9,3,1,8,8.47395482465094,0.473954824650939,9.6968,0.84965,6.3506,6.3497,NA,3,1.53957013109897
203,"Soissons","field_130410",40,6,6,4,8,8.47395482465094,3.47395482465094,8.9063,0.63406,4.5336,4.3977,NA,1,1.53957013109897
204,"Soissons","field_130410",40,8,4,2,8,8.47395482465094,1.47395482465094,15.9951,1.0863,13.8239,13.7963,0.0564,1,1.53957013109897
205,"Soissons","field_130410",40,7,5,3,8,8.47395482465094,2.47395482465094,11.5631,0.77219,7.236,7.1572,0.0284,1,1.53957013109897
206,"Soissons","field_250510",1,12,1,1,12,14.4434885444137,3.44348854441374,17.3108,1.4299,19.6522,19.593,NA,1,1.57396821588848
207,"Soissons","field_250510",1,9,4,4,12,14.4434885444137,6.44348854441374,21.6307,1.1881,19.1966,17.1998,NA,1,1.57396821588848
208,"Soissons","field_250510",1,11,2,2,12,14.4434885444137,4.44348854441374,25.2118,1.3598,26.9258,26.6088,NA,1,1.57396821588848
209,"Soissons","field_250510",1,10,3,3,12,14.4434885444137,5.44348854441374,24.5486,1.2354,24.394,23.8008,NA,1,1.57396821588848
210,"Soissons","field_250510",17,8,5,5,12,14.4434885444137,7.44348854441374,16.0952,0.63651,6.5134,0.00096774,NA,2,1.65933755138441
211,"Soissons","field_250510",17,12,1,1,12,14.4434885444137,3.44348854441374,17.4182,1.4695,19.6474,19.5695,NA,1,1.65933755138441
212,"Soissons","field_250510",17,10,3,3,12,14.4434885444137,5.44348854441374,24.2363,1.3127,25.6029,25.217,NA,1,1.65933755138441
213,"Soissons","field_250510",17,11,2,2,12,14.4434885444137,4.44348854441374,24.7515,1.378,27.4277,27.1966,NA,1,1.65933755138441
214,"Soissons","field_250510",17,9,4,4,12,14.4434885444137,6.44348854441374,20.2037,1.266,19.5014,18.5509,NA,1,1.65933755138441
215,"Soissons","field_250510",18,11,1,1,11,14.1557458023471,4.15574580234707,19.6589,1.5396,23.0019,22.8198,0.1124,1,1.57885249916842
216,"Soissons","field_250510",18,8,4,4,11,14.1557458023471,7.15574580234707,19.7786,1.0906,15.6519,11.7008,0.0547,2,1.57885249916842
217,"Soissons","field_250510",18,9,3,3,11,14.1557458023471,6.15574580234707,24.4721,1.2276,23.7767,23.1908,0.0924,1,1.57885249916842
218,"Soissons","field_250510",18,10,2,2,11,14.1557458023471,5.15574580234707,25.4465,1.339,26.6701,26.3604,0.1173,1,1.57885249916842
219,"Soissons","field_250510",19,9,4,4,12,14.4434885444137,6.44348854441374,16.3,1.1949,14.9376,13.9795,0.0591,1,1.59645661258712
220,"Soissons","field_250510",19,12,1,1,12,14.4434885444137,3.44348854441374,17.8535,1.4654,19.88,19.6872,0.1109,1,1.59645661258712
221,"Soissons","field_250510",19,11,2,2,12,14.4434885444137,4.44348854441374,23.1514,1.3297,24.7835,24.6195,0.1283,1,1.59645661258712
222,"Soissons","field_250510",19,10,3,3,12,14.4434885444137,5.44348854441374,20.3771,1.2572,20.4493,20.2319,0.0956,1,1.59645661258712
223,"Soissons","field_250510",2,11,2,2,12,14.4434885444137,4.44348854441374,22.6792,1.3478,24.3488,24.0508,0.1217,1,1.54603210798085
224,"Soissons","field_250510",2,10,3,3,12,14.4434885444137,5.44348854441374,20.443,1.2582,20.0771,19.8754,0.0866,1,1.54603210798085
225,"Soissons","field_250510",2,9,4,4,12,14.4434885444137,6.44348854441374,16.6468,1.1879,13.2432,10.3297,0.0546,2,1.54603210798085
226,"Soissons","field_250510",2,12,1,1,12,14.4434885444137,3.44348854441374,17.9568,1.4646,20.6237,20.5817,0.1095,1,1.54603210798085
227,"Soissons","field_250510",20,12,1,1,12,14.4434885444137,3.44348854441374,14.288,1.318,14.3985,14.2096,0.0788,1,1.58780901636061
228,"Soissons","field_250510",20,10,3,3,12,14.4434885444137,5.44348854441374,22.1676,1.2372,21.7893,21.3745,0.1068,1,1.58780901636061
229,"Soissons","field_250510",20,11,2,2,12,14.4434885444137,4.44348854441374,21.6441,1.3289,22.7172,22.4422,0.1164,1,1.58780901636061
230,"Soissons","field_250510",20,9,4,4,12,14.4434885444137,6.44348854441374,21.3688,1.2271,20.1546,19.4632,0.0915,1,1.58780901636061
231,"Soissons","field_250510",21,11,2,2,12,14.4434885444137,4.44348854441374,23.7107,1.2891,24.2404,24.0148,0.1345,1,1.56833550156738
232,"Soissons","field_250510",21,12,1,1,12,14.4434885444137,3.44348854441374,17.4898,1.4116,19.0498,18.9464,0.1127,1,1.56833550156738
233,"Soissons","field_250510",21,10,3,3,12,14.4434885444137,5.44348854441374,21.329,1.1968,20.4562,19.9859,0.1018,1,1.56833550156738
234,"Soissons","field_250510",21,9,4,4,12,14.4434885444137,6.44348854441374,17.3485,1.0539,13.0358,10.0109,0.0597,2,1.56833550156738
235,"Soissons","field_250510",23,12,1,1,12,14.4434885444137,3.44348854441374,16.2158,1.3769,17.1469,17.0537,NA,1,1.64386706416691
236,"Soissons","field_250510",23,8,5,5,12,14.4434885444137,7.44348854441374,14.9573,0.94552,9.1059,6.1151,NA,2,1.64386706416691
237,"Soissons","field_250510",23,10,3,3,12,14.4434885444137,5.44348854441374,22.0853,1.2258,21.3235,21.1721,NA,1,1.64386706416691
238,"Soissons","field_250510",23,9,4,4,12,14.4434885444137,6.44348854441374,20.2099,1.1782,18.6895,18.1054,NA,1,1.64386706416691
239,"Soissons","field_250510",23,11,2,2,12,14.4434885444137,4.44348854441374,22.5641,1.277,23.218,23.0374,NA,1,1.64386706416691
240,"Soissons","field_250510",24,10,3,3,12,14.4434885444137,5.44348854441374,21.7208,1.2065,20.6624,20.4192,0.1026,1,1.58643741568437
241,"Soissons","field_250510",24,9,4,4,12,14.4434885444137,6.44348854441374,17.7151,1.1533,15.245,14.0426,0.0659,1,1.58643741568437
242,"Soissons","field_250510",24,11,2,2,12,14.4434885444137,4.44348854441374,23.2146,1.3036,24.205,24.0746,0.1283,1,1.58643741568437
243,"Soissons","field_250510",24,12,1,1,12,14.4434885444137,3.44348854441374,16.471,1.4451,17.95,17.773,0.0996,1,1.58643741568437
244,"Soissons","field_250510",25,10,3,3,12,14.4434885444137,5.44348854441374,18.9886,1.1585,17.2232,17.013,0.0678,1,1.59492986055882
245,"Soissons","field_250510",25,12,1,1,12,14.4434885444137,3.44348854441374,16.7526,1.3521,17.2727,17.1646,0.0841,1,1.59492986055882
246,"Soissons","field_250510",25,11,2,2,12,14.4434885444137,4.44348854441374,21.4578,1.2316,20.8316,20.7371,0.0942,1,1.59492986055882
247,"Soissons","field_250510",25,9,4,4,12,14.4434885444137,6.44348854441374,15.6342,1.0065,11.5582,10.2684,0.0414,1,1.59492986055882
248,"Soissons","field_250510",26,11,1,1,11,14.1557458023471,4.15574580234707,19.9286,1.6069,24.818,24.5883,0.1445,1,1.61884005148571
249,"Soissons","field_250510",26,10,2,2,11,14.1557458023471,5.15574580234707,27.0195,1.4662,31.1704,30.8619,0.1737,1,1.61884005148571
250,"Soissons","field_250510",26,8,4,4,11,14.1557458023471,7.15574580234707,19.1896,1.119,15.7438,11.7606,0.067,2,1.61884005148571
251,"Soissons","field_250510",26,9,3,3,11,14.1557458023471,6.15574580234707,23.2752,1.3499,22.1954,19.0445,0.1123,2,1.61884005148571
252,"Soissons","field_250510",28,10,3,3,12,14.4434885444137,5.44348854441374,22.2362,1.1596,20.5738,20.3803,NA,1,1.59336985645909
253,"Soissons","field_250510",28,9,4,4,12,14.4434885444137,6.44348854441374,19.4571,1.0931,16.6485,16.0806,NA,1,1.59336985645909
254,"Soissons","field_250510",28,11,2,2,12,14.4434885444137,4.44348854441374,21.7857,1.2632,21.6135,21.3829,NA,1,1.59336985645909
255,"Soissons","field_250510",28,12,1,1,12,14.4434885444137,3.44348854441374,13.5136,1.3656,13.1227,12.9051,NA,1,1.59336985645909
256,"Soissons","field_250510",29,12,1,1,12,14.4434885444137,3.44348854441374,15.9405,1.4247,17.6561,17.5629,0.0905,1,1.63093747838003
257,"Soissons","field_250510",29,11,2,2,12,14.4434885444137,4.44348854441374,23.9256,1.3169,25.2754,25.0482,0.1273,1,1.63093747838003
258,"Soissons","field_250510",29,9,4,4,12,14.4434885444137,6.44348854441374,20.755,1.1181,17.4003,15.8214,0.066,1,1.63093747838003
259,"Soissons","field_250510",29,10,3,3,12,14.4434885444137,5.44348854441374,23.45,1.2175,22.7211,22.2491,0.0964,1,1.63093747838003
260,"Soissons","field_250510",3,12,1,1,12,14.4434885444137,3.44348854441374,14.5218,1.3333,14.7216,14.6367,0.0773,1,1.55823078567725
261,"Soissons","field_250510",3,8,5,5,12,14.4434885444137,7.44348854441374,17.3722,0.90755,12.4643,9.1976,NA,2,1.55823078567725
262,"Soissons","field_250510",3,9,4,4,12,14.4434885444137,6.44348854441374,21.6331,1.1831,20.275,19.8087,0.0862,1,1.55823078567725
263,"Soissons","field_250510",3,11,2,2,12,14.4434885444137,4.44348854441374,21.4407,1.313,22.3353,22.2022,0.1117,1,1.55823078567725
264,"Soissons","field_250510",3,10,3,3,12,14.4434885444137,5.44348854441374,22.223,1.2501,21.5162,21.3332,0.0993,1,1.55823078567725
265,"Soissons","field_250510",4,10,3,3,12,14.4434885444137,5.44348854441374,24.0226,1.3372,24.5404,24.3808,NA,1,1.56304694089921
266,"Soissons","field_250510",4,12,1,1,12,14.4434885444137,3.44348854441374,13.6936,1.5085,15.3342,15.2837,NA,1,1.56304694089921
267,"Soissons","field_250510",4,11,2,2,12,14.4434885444137,4.44348854441374,22.839,1.3834,25.4075,25.2964,NA,1,1.56304694089921
268,"Soissons","field_250510",4,9,4,4,12,14.4434885444137,6.44348854441374,22.9354,1.2485,22.6219,21.9543,NA,1,1.56304694089921
269,"Soissons","field_250510",5,9,3,3,11,14.1557458023471,6.15574580234707,19.5866,0.99263,13.6516,9.2818,0.0586,2,1.55305776839174
270,"Soissons","field_250510",5,11,1,1,11,14.1557458023471,4.15574580234707,22.5173,1.4792,25.957,25.733,0.1287,1,1.55305776839174
271,"Soissons","field_250510",5,10,2,2,11,14.1557458023471,5.15574580234707,22.1492,1.2259,20.9595,20.3551,0.0985,1,1.55305776839174
272,"Soissons","field_250510",6,11,2,2,12,14.4434885444137,4.44348854441374,25.4314,1.3353,27.1087,26.9456,0.1446,1,1.439478869497
273,"Soissons","field_250510",6,12,1,1,12,14.4434885444137,3.44348854441374,20.6977,1.493,24.214,24.0701,0.1412,1,1.439478869497
274,"Soissons","field_250510",6,10,3,3,12,14.4434885444137,5.44348854441374,20.8255,1.2461,21.0785,20.8159,0.099,1,1.439478869497
275,"Soissons","field_250510",6,9,4,4,12,14.4434885444137,6.44348854441374,17.2107,1.014,12.5738,10.4124,0.06,2,1.439478869497
276,"Soissons","field_250510",6,8,5,5,12,14.4434885444137,7.44348854441374,13.6145,0.56109,4.8408,0.0040322,NA,2,1.439478869497
277,"Soissons","field_250510",7,8,5,5,12,14.4434885444137,7.44348854441374,16.1197,0.92037,10.924,2.6106,NA,2,1.58905205780186
278,"Soissons","field_250510",7,11,2,2,12,14.4434885444137,4.44348854441374,22.3474,1.3391,23.2922,23.1209,0.1146,1,1.58905205780186
279,"Soissons","field_250510",7,9,4,4,12,14.4434885444137,6.44348854441374,19.1966,1.1423,16.9222,15.8751,0.0674,1,1.58905205780186
280,"Soissons","field_250510",7,12,1,1,12,14.4434885444137,3.44348854441374,14.4247,1.3756,14.9124,14.7822,0.0761,1,1.58905205780186
281,"Soissons","field_250510",7,10,3,3,12,14.4434885444137,5.44348854441374,21.0135,1.2083,20.3619,20.1066,0.0927,1,1.58905205780186
282,"Mercia","field_040210",1,1,12,4,3,4,4,6.1506,0.56745,2.9097,1.9235,0.01248,2,1.76476809213661
283,"Mercia","field_040210",1,4,9,1,3,4,1,4.8763,0.39757,1.5653,1.5052,NA,3,1.76476809213661
284,"Mercia","field_040210",1,2,11,3,3,4,3,7.1869,0.54847,3.191,3.0572,NA,1,1.76476809213661
285,"Mercia","field_040210",1,3,10,2,3,4,2,7.7695,0.55712,3.3378,3.1358,0.01329,1,1.76476809213661
286,"Mercia","field_040210",11,2,11,4,3,4,3,8.3195,0.53538,3.4239,2.9155,NA,1,1.68397821756569
287,"Mercia","field_040210",11,1,12,5,3,4,4,6.3095,0.55278,3.022,2.7282,0.01307,1,1.68397821756569
288,"Mercia","field_040210",11,4,9,2,3,4,1,7.4354,0.54159,3.2528,3.2072,NA,1,1.68397821756569
289,"Mercia","field_040210",11,3,10,3,3,4,2,8.6433,0.54836,3.7409,3.6237,0.01687,1,1.68397821756569
290,"Mercia","field_040210",12,2,11,4,3,4.42726941510834,3.42726941510834,7.7984,0.5612,3.4765,3.3201,NA,1,1.79070736893399
291,"Mercia","field_040210",12,5,8,1,3,4.42726941510834,0.427269415108339,2.5275,0.20622,0.38896,0.38595,NA,3,1.79070736893399
292,"Mercia","field_040210",12,1,12,5,3,4.42726941510834,4.42726941510834,6.3677,0.57182,3.1886,2.7591,0.01283,1,1.79070736893399
293,"Mercia","field_040210",12,3,10,3,3,4.42726941510834,2.42726941510834,7.676,0.59666,3.5149,3.4878,0.01459,1,1.79070736893399
294,"Mercia","field_040210",12,4,9,2,3,4.42726941510834,1.42726941510834,6.3481,0.53799,2.6737,2.6268,NA,2,1.79070736893399
295,"Mercia","field_040210",13,2,11,4,3,4,3,9.4875,0.4567,3.4779,2.5906,NA,1,1.63368368885549
296,"Mercia","field_040210",13,1,12,5,3,4,4,7.5228,0.45187,2.8925,2.0802,0.01374,1,1.63368368885549
297,"Mercia","field_040210",13,3,10,3,3,4,2,9.8442,0.52075,3.9272,3.8525,0.01632,1,1.63368368885549
298,"Mercia","field_040210",13,4,9,2,3,4,1,7.4922,0.46928,2.6788,2.5134,NA,3,1.63368368885549
299,"Mercia","field_040210",14,3,9,3,4,4.48930649869581,2.48930649869581,7.688,0.50599,3.1333,2.9133,0.01437,1,1.9349218068398
300,"Mercia","field_040210",14,5,7,1,4,4.48930649869581,0.489306498695813,3.295,0.44692,1.0885,1.0858,NA,3,1.9349218068398
301,"Mercia","field_040210",14,1,11,5,4,4.48930649869581,4.48930649869581,6.0052,0.53505,2.8028,2.6236,0.01188,1,1.9349218068398
302,"Mercia","field_040210",14,4,8,2,4,4.48930649869581,1.48930649869581,6.3754,0.51601,2.7344,2.4647,NA,1,1.9349218068398
303,"Mercia","field_040210",14,2,10,4,4,4.48930649869581,3.48930649869581,7.8666,0.53152,3.2478,3.0262,NA,1,1.9349218068398
304,"Mercia","field_040210",15,2,11,4,3,4,3,7.3629,0.43079,2.5167,1.8644,NA,1,1.61035307186212
305,"Mercia","field_040210",15,3,10,3,3,4,2,8.1403,0.49814,3.0601,2.9817,0.01479,1,1.61035307186212
306,"Mercia","field_040210",15,4,9,2,3,4,1,5.4576,0.51074,1.9287,1.8926,NA,3,1.61035307186212
307,"Mercia","field_040210",15,1,12,5,3,4,4,5.914,0.42642,2.1889,1.6286,0.01055,2,1.61035307186212
308,"Mercia","field_040210",16,3,10,3,3,4,2,7.7159,0.50928,3.0938,2.9274,0.01341,1,1.73678644465446
309,"Mercia","field_040210",16,4,9,2,3,4,1,4.7413,0.49842,1.5378,1.5075,NA,3,1.73678644465446
310,"Mercia","field_040210",16,2,11,4,3,4,3,6.5894,0.46975,2.502,1.8305,NA,1,1.73678644465446
311,"Mercia","field_040210",16,1,12,5,3,4,4,4.6626,0.43658,1.7986,1.3932,0.00721,1,1.73678644465446
312,"Mercia","field_040210",17,2,11,3,3,3.68447316628977,2.68447316628977,7.5921,0.38793,2.4927,2.4416,NA,1,1.94449530695937
313,"Mercia","field_040210",17,4,9,1,3,3.68447316628977,0.684473166289767,3.4504,0.412,1.0563,1.0548,NA,3,1.94449530695937
314,"Mercia","field_040210",17,3,10,2,3,3.68447316628977,1.68447316628977,7.5067,0.45026,2.6123,2.1399,0.01051,1,1.94449530695937
315,"Mercia","field_040210",17,1,12,4,3,3.68447316628977,3.68447316628977,6.6891,0.38538,2.1993,1.5867,0.00926,1,1.94449530695937
316,"Mercia","field_040210",18,2,11,4,4,4.41208625895071,3.41208625895071,8.0687,0.53234,3.3319,2.6869,NA,1,1.41684546818323
317,"Mercia","field_040210",18,3,10,3,4,4.41208625895071,2.41208625895071,7.9609,0.58012,3.633,3.5455,0.0155,1,1.41684546818323
318,"Mercia","field_040210",18,4,9,2,4,4.41208625895071,1.41208625895071,6.8786,0.57124,3.2209,2.9523,NA,1,1.41684546818323
319,"Mercia","field_040210",18,5,8,1,4,4.41208625895071,0.412086258950715,2.7046,0.40665,0.8362,0.83405,NA,3,1.41684546818323
320,"Mercia","field_040210",18,1,12,5,4,4.41208625895071,4.41208625895071,6.3737,0.54096,2.9439,2.0731,0.01651,1,1.41684546818323
321,"Mercia","field_040210",19,1,11,4,3,3.7112005994881,3.7112005994881,8.4361,0.50137,3.6929,3.3342,0.01614,1,1.80566392964752
322,"Mercia","field_040210",19,3,9,2,3,3.7112005994881,1.7112005994881,10.9742,0.5089,4.478,4.4065,0.01812,1,1.80566392964752
323,"Mercia","field_040210",19,2,10,3,3,3.7112005994881,2.7112005994881,10.7264,0.47454,4.0513,3.6264,NA,1,1.80566392964752
324,"Mercia","field_040210",19,4,8,1,3,3.7112005994881,0.711200599488096,5.8271,0.49424,1.9876,1.9821,NA,3,1.80566392964752
325,"Mercia","field_040210",2,3,10,3,3,4,2,6.9702,0.44879,2.4493,2.4002,0.01034,1,1.5015780199139
326,"Mercia","field_040210",2,2,11,4,3,4,3,6.5346,0.44555,2.428,2.3237,NA,1,1.5015780199139
327,"Mercia","field_040210",2,4,9,2,3,4,1,4.6148,0.40933,1.51,1.4917,NA,3,1.5015780199139
328,"Mercia","field_040210",2,1,12,5,3,4,4,5.2653,0.4474,2.0609,1.7349,0.00865,1,1.5015780199139
329,"Mercia","field_040210",20,1,12,5,3,4,4,7.4357,0.53265,3.4317,2.6784,0.016,1,1.66955632438433
330,"Mercia","field_040210",20,4,9,2,3,4,1,6.301,0.50403,2.6376,2.5809,NA,1,1.66955632438433
331,"Mercia","field_040210",20,3,10,3,3,4,2,8.2248,0.53646,3.5128,3.382,0.01476,1,1.66955632438433
332,"Mercia","field_040210",20,2,11,4,3,4,3,7.9151,0.52026,3.2518,2.9594,NA,1,1.66955632438433
333,"Mercia","field_040210",3,3,10,2,3,4,2,8.6332,0.53416,3.633,3.5353,0.01528,1,1.28892228075963
334,"Mercia","field_040210",3,1,12,4,3,4,4,7.4045,0.54699,3.5234,2.7531,0.01561,1,1.28892228075963
335,"Mercia","field_040210",3,2,11,3,3,4,3,8.9243,0.49586,3.5781,3.4068,NA,1,1.28892228075963
336,"Mercia","field_040210",3,4,9,1,3,4,1,5.9758,0.47492,2.2605,2.1286,NA,3,1.28892228075963
337,"Mercia","field_040210",4,1,12,4,3,3.73645436641956,3.73645436641956,6.8217,0.45059,2.6813,2.1882,0.01159,1,1.80930070508724
338,"Mercia","field_040210",4,4,9,1,3,3.73645436641956,0.736454366419555,3.8946,0.35501,0.88315,0.8752,NA,3,1.80930070508724
339,"Mercia","field_040210",4,3,10,2,3,3.73645436641956,1.73645436641956,8.1965,0.51099,3.2337,2.7348,0.01311,1,1.80930070508724
340,"Mercia","field_040210",4,2,11,3,3,3.73645436641956,2.73645436641956,7.8985,0.44262,2.8966,2.7728,NA,1,1.80930070508724
341,"Mercia","field_040210",5,3,9,3,3,3.87595454070636,1.87595454070636,11.3072,0.55426,5.0049,4.779,0.02082,1,1.49975832306896
342,"Mercia","field_040210",5,2,10,4,3,3.87595454070636,2.87595454070636,11.0954,0.49966,4.506,4.2136,NA,1,1.49975832306896
343,"Mercia","field_040210",5,1,11,5,3,3.87595454070636,3.87595454070636,8.5283,0.56922,4.1221,3.3624,0.01694,1,1.49975832306896
344,"Mercia","field_040210",5,4,8,2,3,3.87595454070636,0.875954540706362,7.3584,0.58586,3.1665,3.0786,NA,3,1.49975832306896
345,"Mercia","field_040210",6,1,12,5,3,4,4,6.9912,0.52131,3.2486,2.8293,0.01318,1,1.73227159569809
346,"Mercia","field_040210",6,2,11,4,3,4,3,8.743,0.49852,3.5381,3.3344,NA,1,1.73227159569809
347,"Mercia","field_040210",6,3,10,3,3,4,2,8.6754,0.49281,3.4388,3.3991,0.01407,1,1.73227159569809
348,"Mercia","field_040210",6,4,9,2,3,4,1,6.1766,0.47071,2.0418,2.0312,NA,3,1.73227159569809
349,"Mercia","field_040210",7,3,9,2,3,3.76255526143944,1.76255526143944,9.5867,0.53609,3.9626,3.928,0.01633,1,1.74487456592115
350,"Mercia","field_040210",7,4,8,1,3,3.76255526143944,0.762555261439438,5.395,0.45031,1.8266,1.8203,NA,3,1.74487456592115
351,"Mercia","field_040210",7,2,10,3,3,3.76255526143944,2.76255526143944,9.4445,0.4737,3.5921,3.5032,NA,1,1.74487456592115
352,"Mercia","field_040210",7,1,11,4,3,3.76255526143944,3.76255526143944,7.0536,0.50808,3.0247,1.8794,0.01219,3,1.74487456592115
353,"Mercia","field_040210",8,1,12,4,3,3.64118153744479,3.64118153744479,6.8357,0.39273,2.2859,2.0373,0.008,1,1.45340012520525
354,"Mercia","field_040210",8,4,9,1,3,3.64118153744479,0.64118153744479,3.4865,0.33026,0.80523,0.80265,NA,3,1.45340012520525
355,"Mercia","field_040210",8,3,10,2,3,3.64118153744479,1.64118153744479,8.5645,0.43256,2.8777,2.5912,0.01106,1,1.45340012520525
356,"Mercia","field_040210",8,2,11,3,3,3.64118153744479,2.64118153744479,8.2098,0.41189,2.7835,2.7131,NA,1,1.45340012520525
357,"Mercia","field_040210",9,1,11,5,3,4.09871835497779,4.09871835497779,8.0886,0.52848,3.8528,3.2525,0.01685,1,2.39369761000181
358,"Mercia","field_040210",9,2,10,4,3,4.09871835497779,3.09871835497779,8.9156,0.50617,3.6568,3.4718,NA,1,2.39369761000181
359,"Mercia","field_040210",9,4,8,2,3,4.09871835497779,1.09871835497779,6.4697,0.50987,2.4916,2.482,NA,3,2.39369761000181
360,"Mercia","field_040210",9,5,7,1,3,4.09871835497779,0.0987183549777857,1.6041,0.14164,0.19469,0.19462,NA,3,2.39369761000181
361,"Mercia","field_040210",9,3,9,3,3,4.09871835497779,2.09871835497779,9.245,0.54442,3.9793,3.8568,0.0175,1,2.39369761000181
362,"Mercia","field_230310",1,3,10,6,6,7.0582691449685,5.0582691449685,10.0355,0.56251,4.2739,0.21527,NA,2,1.58877409163221
363,"Mercia","field_230310",1,8,5,1,6,7.0582691449685,0.0582691449685049,0.93192,0.11558,0.087813,0.087598,NA,3,1.58877409163221
364,"Mercia","field_230310",1,7,6,2,6,7.0582691449685,1.0582691449685,8.171,0.88814,5.6521,5.6505,NA,3,1.58877409163221
365,"Mercia","field_230310",1,4,9,5,6,7.0582691449685,4.0582691449685,1.7399,0.56884,0.93082,0.72251,NA,3,1.58877409163221
366,"Mercia","field_230310",1,5,8,4,6,7.0582691449685,3.0582691449685,5.5492,0.6612,3.348,2.6313,NA,3,1.58877409163221
367,"Mercia","field_230310",1,6,7,3,6,7.0582691449685,2.0582691449685,8.4811,0.76425,5.3324,5.297,0.0236,1,1.58877409163221
368,"Mercia","field_230310",10,7,6,1,6,6.32972493129813,0.32972493129813,3.1806,0.33358,0.80523,0.80509,NA,3,1.90251822605809
369,"Mercia","field_230310",10,4,9,4,6,6.32972493129813,3.32972493129813,5.6989,0.51578,2.4745,1.2508,NA,1,1.90251822605809
370,"Mercia","field_230310",10,5,8,3,6,6.32972493129813,2.32972493129813,6.5864,0.59941,3.3282,3.2965,0.0169,1,1.90251822605809
371,"Mercia","field_230310",10,3,10,5,6,6.32972493129813,4.32972493129813,7.141,0.45858,2.6207,0.76043,NA,2,1.90251822605809
372,"Mercia","field_230310",10,6,7,2,6,6.32972493129813,1.32972493129813,8.2986,0.73838,4.8978,4.8916,0.0203,1,1.90251822605809
373,"Mercia","field_230310",11,6,6,2,5,5.87587565600482,0.875875656004821,7.8875,0.77902,4.866,4.8626,0.0181,3,1.65805720032041
374,"Mercia","field_230310",11,5,7,3,5,5.87587565600482,1.87587565600482,8.1491,0.64427,4.3763,4.3581,0.0206,1,1.65805720032041
375,"Mercia","field_230310",11,4,8,4,5,5.87587565600482,2.87587565600482,7.5261,0.54014,2.9768,1.8643,NA,2,1.65805720032041
376,"Mercia","field_230310",12,4,9,4,6,7,4,1.3731,0.53476,0.69527,0.56093,NA,3,1.3400467214071
377,"Mercia","field_230310",12,5,8,3,6,7,3,5.2877,0.64352,3.0013,2.733,NA,3,1.3400467214071
378,"Mercia","field_230310",12,7,6,1,6,7,1,7.1477,0.77168,4.2062,4.2021,NA,3,1.3400467214071
379,"Mercia","field_230310",12,6,7,2,6,7,2,8.7254,0.72425,4.9092,4.8884,0.0204,1,1.3400467214071
380,"Mercia","field_230310",13,4,9,4,6,6.45151750451921,3.45151750451921,5.335,0.46425,1.9539,0.13799,NA,3,1.58627094523389
381,"Mercia","field_230310",13,5,8,3,6,6.45151750451921,2.45151750451921,6.7638,0.62173,3.2689,2.3801,0.01555,1,1.58627094523389
382,"Mercia","field_230310",13,6,7,2,6,6.45151750451921,1.45151750451921,7.3842,0.67698,4.0274,4.0239,0.0162,1,1.58627094523389
383,"Mercia","field_230310",13,7,6,1,6,6.45151750451921,0.45151750451921,4.368,0.55195,1.8717,1.8707,NA,3,1.58627094523389
384,"Mercia","field_230310",14,4,9,5,6,6.74277559321068,3.74277559321068,5.0829,0.49243,1.8421,0.95498,NA,3,1.58792719063485
385,"Mercia","field_230310",14,6,7,3,6,6.74277559321068,1.74277559321068,6.1092,0.61969,3.193,3.1679,0.01295,1,1.58792719063485
386,"Mercia","field_230310",14,7,6,2,6,6.74277559321068,0.742775593210675,5.9994,0.68791,3.2305,3.2286,NA,3,1.58792719063485
387,"Mercia","field_230310",14,5,8,4,6,6.74277559321068,2.74277559321068,4.9535,0.56877,2.1378,1.171,NA,2,1.58792719063485
388,"Mercia","field_230310",2,6,7,2,6,6.36025173995111,1.36025173995111,8.475,0.76662,5.1977,5.1527,0.0203,1,1.51994511044733
389,"Mercia","field_230310",2,3,10,5,6,6.36025173995111,4.36025173995111,9.3264,0.51356,3.6054,0.33591,NA,2,1.51994511044733
390,"Mercia","field_230310",2,5,8,3,6,6.36025173995111,2.36025173995111,7.5148,0.68478,4.1535,3.6107,0.01875,1,1.51994511044733
391,"Mercia","field_230310",2,7,6,1,6,6.36025173995111,0.360251739951113,4.1622,0.66704,2.0642,2.0591,NA,3,1.51994511044733
392,"Mercia","field_230310",2,4,9,4,6,6.36025173995111,3.36025173995111,7.6569,0.55401,3.4548,1.5173,NA,2,1.51994511044733
