"Date","label","N","nff","TT","HS","SSI","GL"
"02/04/2013","Tremie13",17,NA,750.2,NA,4.1,NA
"02/04/2013","Tremie13",18,NA,750.2,NA,4.35,NA
"02/04/2013","Tremie13",19,NA,750.2,NA,3.7,NA
"02/04/2013","Tremie13",20,NA,750.2,NA,4.3,NA
"02/04/2013","Tremie13",21,NA,750.2,NA,4.2,NA
"02/04/2013","Tremie13",22,NA,750.2,NA,3.65,NA
"02/04/2013","Tremie13",23,NA,750.2,NA,3.95,NA
"02/04/2013","Tremie13",24,NA,750.2,NA,3.7,NA
"02/04/2013","Tremie13",25,NA,750.2,NA,3.75,NA
"02/04/2013","Tremie13",26,NA,750.2,NA,3.2,NA
"02/04/2013","Tremie13",27,NA,750.2,NA,3.9,NA
"02/04/2013","Tremie13",28,NA,750.2,NA,3.5,NA
"02/04/2013","Tremie13",29,NA,750.2,NA,4.25,NA
"02/04/2013","Tremie13",30,NA,750.2,NA,4.05,NA
"02/04/2013","Tremie13",31,NA,750.2,NA,4.15,NA
"02/04/2013","Tremie13",32,NA,750.2,NA,4.15,NA
"02/04/2013","Tremie13",33,NA,750.2,NA,4,NA
"02/04/2013","Tremie13",34,NA,750.2,NA,3.25,NA
"02/04/2013","Tremie13",35,NA,750.2,NA,3.75,NA
"02/04/2013","Tremie13",36,NA,750.2,NA,4.5,NA
"02/04/2013","Tremie13",37,NA,750.2,NA,3.75,NA
"02/04/2013","Tremie13",38,NA,750.2,NA,3.2,NA
"02/04/2013","Tremie13",39,NA,750.2,NA,4.1,NA
"02/04/2013","Tremie13",40,NA,750.2,NA,3.85,NA
"02/04/2013","Tremie13",41,NA,750.2,NA,3.9,NA
"02/04/2013","Tremie13",42,NA,750.2,NA,3.65,NA
"02/04/2013","Tremie13",43,NA,750.2,NA,3.55,NA
"02/04/2013","Tremie13",44,NA,750.2,NA,3.6,NA
"02/04/2013","Tremie13",45,NA,750.2,NA,3.85,NA
