"Date","label","Trt","Rep","N","Axis","Nflig","Nfvis","nff","HS","SSI","GL"
"26/05/2011","Mercia","T1+T2",3,28,"MB",12,0,12,12,8.9,3.1
"27/04/2011","Mercia","T1+T2",3,28,"MB",11,1,12,11.51875,NA,NA
"01/06/2011","Mercia","T1+T2",3,29,"MB",11,0,11,11,8.026,2.974
"09/06/2011","Mercia","T1+T2",3,29,"MB",11,0,11,11,8.82,2.18
"18/04/2011","Mercia","T1+T2",3,29,"MB",8,1,11,8.95528455284553,NA,NA
"19/01/2011","Mercia","T1+T2",3,29,"MB",4,1,11,4.5110936640888,0.01,4.5010936640888
"26/05/2011","Mercia","T1+T2",3,29,"MB",11,0,11,11,7.59,3.41
"27/04/2011","Mercia","T1+T2",3,29,"MB",10,1,11,10.2942716802565,NA,NA
"01/06/2011","Mercia","T1+T2",3,30,"MB",11,0,11,11,9.013,1.987
"09/06/2011","Mercia","T1+T2",3,30,"MB",11,0,11,11,9.3,1.7
"18/04/2011","Mercia","T1+T2",3,30,"MB",9,1,11,9.36563071297989,NA,NA
"19/01/2011","Mercia","T1+T2",3,30,"MB",3,2,11,3.65566651299079,0.15,3.50566651299079
"26/05/2011","Mercia","T1+T2",3,30,"MB",11,0,11,11,7.73,3.27
"27/04/2011","Mercia","T1+T2",3,30,"MB",10,1,11,10.7734806629834,NA,NA
"01/06/2011","Mercia","T1+T2",3,31,"MB",12,0,12,12,9.03,2.97
"09/06/2011","Mercia","T1+T2",3,31,"MB",12,0,12,12,9.75,2.25
"18/04/2011","Mercia","T1+T2",3,31,"MB",9,1,12,10.0229007633588,NA,NA
"19/01/2011","Mercia","T1+T2",3,31,"MB",3,2,12,3.75676857575202,NA,NA
"26/05/2011","Mercia","T1+T2",3,31,"MB",12,0,12,12,NA,NA
"27/04/2011","Mercia","T1+T2",3,31,"MB",11,1,12,11.5714285714286,NA,NA
"01/06/2011","Mercia","T1+T2",3,32,"MB",12,0,12,12,8.229,3.771
"09/06/2011","Mercia","T1+T2",3,32,"MB",12,0,12,12,9.35,2.65
"18/04/2011","Mercia","T1+T2",3,32,"MB",9,1,12,9.7488986784141,NA,NA
"19/01/2011","Mercia","T1+T2",3,32,"MB",3,2,12,3.66674412681013,0,3.66674412681013
"26/05/2011","Mercia","T1+T2",3,32,"MB",12,0,12,12,8.66,3.34
"27/04/2011","Mercia","T1+T2",3,32,"MB",11,1,12,11.187134502924,NA,NA
"01/06/2011","Mercia","T1+T2",3,33,"MB",12,0,12,12,8.175,3.825
"09/06/2011","Mercia","T1+T2",3,33,"MB",12,0,12,12,9.34,2.66
"18/04/2011","Mercia","T1+T2",3,33,"MB",9,1,12,9.625,NA,NA
"19/01/2011","Mercia","T1+T2",3,33,"MB",3,1,12,3.50163322915883,0,3.50163322915883
"26/05/2011","Mercia","T1+T2",3,33,"MB",12,0,12,12,8.39,3.61
"27/04/2011","Mercia","T1+T2",3,33,"MB",10,1,12,11.0292682926829,NA,NA
"01/06/2011","Mercia","T1+T2",3,34,"MB",12,0,12,12,9.071,2.929
"09/06/2011","Mercia","T1+T2",3,34,"MB",12,0,12,12,9.95,2.05
"18/04/2011","Mercia","T1+T2",3,34,"MB",10,1,12,10.2495201535509,NA,NA
"19/01/2011","Mercia","T1+T2",3,34,"MB",3,2,12,3.71982943533207,NA,NA
"26/05/2011","Mercia","T1+T2",3,34,"MB",12,0,12,12,8.46,3.54
"27/04/2011","Mercia","T1+T2",3,34,"MB",11,1,12,11.6451612903226,NA,NA
"01/06/2011","Mercia","T1+T2",3,35,"MB",12,0,12,12,9.053,2.947
