date;variety;image;point;x;y;slice;color;id;serie;ntop_lig
27/04/2011;Mercia;mercia_axe4.jpg;38;1834;1438;4;38;243;3;2
27/04/2011;Mercia;mercia_axe4.jpg;39;1730;1458;4;39;244;3;2
27/04/2011;Mercia;mercia_axe4.jpg;40;1620;1480;4;40;245;3;2
27/04/2011;Mercia;mercia_axe4.jpg;41;1498;1514;4;41;246;3;2
27/04/2011;Mercia;mercia_axe4.jpg;42;1376;1552;4;42;247;3;2
27/04/2011;Mercia;mercia_axe4.jpg;43;1272;1592;4;43;248;3;2
27/04/2011;Mercia;mercia_axe4.jpg;44;1138;1636;4;44;249;3;2
27/04/2011;Mercia;mercia_axe4.jpg;45;1040;1678;4;45;250;3;2
27/04/2011;Mercia;mercia_axe4.jpg;46;936;1716;4;46;251;3;2
27/04/2011;Mercia;mercia_axe4.jpg;47;874;1756;4;47;252;3;2
27/04/2011;Mercia;mercia_axe4.jpg;48;814;1798;4;48;253;3;2
27/04/2011;Mercia;mercia_axe4.jpg;49;2732;1362;4;49;254;4;3
27/04/2011;Mercia;mercia_axe4.jpg;50;2652;1342;4;50;255;4;3
27/04/2011;Mercia;mercia_axe4.jpg;51;2582;1338;4;51;256;4;3
27/04/2011;Mercia;mercia_axe4.jpg;52;2502;1336;4;52;257;4;3
27/04/2011;Mercia;mercia_axe4.jpg;53;2402;1328;4;53;258;4;3
27/04/2011;Mercia;mercia_axe4.jpg;54;2308;1314;4;54;259;4;3
27/04/2011;Mercia;mercia_axe4.jpg;55;2194;1290;4;55;260;4;3
27/04/2011;Mercia;mercia_axe4.jpg;56;2112;1262;4;56;261;4;3
27/04/2011;Mercia;mercia_axe4.jpg;57;2014;1222;4;57;262;4;3
27/04/2011;Mercia;mercia_axe4.jpg;58;1916;1178;4;58;263;4;3
27/04/2011;Mercia;mercia_axe4.jpg;59;1826;1144;4;59;264;4;3
27/04/2011;Mercia;mercia_axe4.jpg;60;1750;1112;4;60;265;4;3
27/04/2011;Mercia;mercia_axe4.jpg;61;1668;1080;4;61;266;4;3
27/04/2011;Mercia;mercia_axe4.jpg;62;1614;1052;4;62;267;4;3
27/04/2011;Mercia;mercia_axe4.jpg;63;3106;1370;4;63;268;5;4
27/04/2011;Mercia;mercia_axe4.jpg;64;3044;1394;4;64;269;5;4
27/04/2011;Mercia;mercia_axe4.jpg;65;2968;1432;4;65;270;5;4
27/04/2011;Mercia;mercia_axe4.jpg;66;2906;1488;4;66;271;5;4
27/04/2011;Mercia;mercia_axe4.jpg;67;2830;1562;4;67;272;5;4
27/04/2011;Mercia;mercia_axe4.jpg;68;2780;1606;4;68;273;5;4
27/04/2011;Mercia;mercia_axe4.jpg;69;2740;1648;4;69;274;5;4
27/04/2011;Mercia;mercia_axe4.jpg;70;2702;1702;4;70;275;5;4
27/04/2011;Mercia;mercia_axe4.jpg;71;2656;1728;4;71;276;5;4
27/04/2011;Mercia;mercia_axe4.jpg;72;2538;1748;4;72;277;5;4
27/04/2011;Mercia;mercia_axe4.jpg;73;2462;1750;4;73;278;5;4
27/04/2011;Mercia;mercia_axe4.jpg;74;2382;1754;4;74;279;5;4
27/04/2011;Mercia;mercia_axe4.jpg;75;2330;1736;4;75;280;5;4
27/04/2011;Mercia;mercia_axe4.jpg;76;3438;1336;4;76;281;6;5
27/04/2011;Mercia;mercia_axe4.jpg;77;3424;1392;4;77;282;6;5
27/04/2011;Mercia;mercia_axe4.jpg;78;3386;1458;4;78;283;6;5
27/04/2011;Mercia;mercia_axe4.jpg;79;3388;1492;4;79;284;6;5
27/04/2011;Mercia;mercia_axe4.jpg;80;3406;1538;4;80;285;6;5
27/04/2011;Mercia;mercia_axe4.jpg;81;3448;1578;4;81;286;6;5
27/04/2011;Mercia;mercia_axe4.jpg;82;3476;1612;4;82;287;6;5
27/04/2011;Mercia;mercia_axe4.jpg;83;3502;1638;4;83;288;6;5
27/04/2011;Mercia;mercia_axe4.jpg;84;3542;1654;4;84;289;6;5
27/04/2011;Mercia;mercia_axe4.jpg;85;3566;1650;4;85;290;6;5
27/04/2011;Mercia;mercia_axe5.jpg;0;3482;1186;5;0;291;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;1;3432;1168;5;1;292;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;2;3360;1166;5;2;293;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;3;3270;1170;5;3;294;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;4;3166;1180;5;4;295;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;5;3070;1192;5;5;296;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;6;2982;1200;5;6;297;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;7;2884;1210;5;7;298;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;8;2792;1218;5;8;299;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;9;2726;1226;5;9;300;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;10;2646;1232;5;10;301;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;11;2544;1246;5;11;302;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;12;2460;1254;5;12;303;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;13;2364;1264;5;13;304;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;14;2274;1272;5;14;305;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;15;2224;1282;5;15;306;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;16;2148;1286;5;16;307;0;-999
27/04/2011;Mercia;mercia_axe5.jpg;17;2136;1293;5;17;308;1;1
27/04/2011;Mercia;mercia_axe5.jpg;18;2096;1296;5;18;309;1;1
