"Date","label","N","nff","HS","SSI","GL"
"02/04/2013","Tremie13",10,NA,NA,4.4,NA
"02/04/2013","Tremie13",11,NA,NA,4.05,NA
"02/04/2013","Tremie13",12,NA,NA,3.4,NA
"02/04/2013","Tremie13",13,NA,NA,4,NA
"02/04/2013","Tremie13",14,NA,NA,3.8,NA
"02/04/2013","Tremie13",15,NA,NA,3.6,NA
"02/04/2013","Tremie13",16,NA,NA,4.1,NA
"02/04/2013","Tremie13",17,NA,NA,4.1,NA
"02/04/2013","Tremie13",18,NA,NA,4.35,NA
"02/04/2013","Tremie13",19,NA,NA,3.7,NA
"02/04/2013","Tremie13",20,NA,NA,4.3,NA
"02/04/2013","Tremie13",21,NA,NA,4.2,NA
"02/04/2013","Tremie13",22,NA,NA,3.65,NA
"02/04/2013","Tremie13",23,NA,NA,3.95,NA
"02/04/2013","Tremie13",24,NA,NA,3.7,NA
"02/04/2013","Tremie13",25,NA,NA,3.75,NA
"02/04/2013","Tremie13",26,NA,NA,3.2,NA
"02/04/2013","Tremie13",27,NA,NA,3.9,NA
"02/04/2013","Tremie13",28,NA,NA,3.5,NA
"02/04/2013","Tremie13",29,NA,NA,4.25,NA
"02/04/2013","Tremie13",30,NA,NA,4.05,NA
"02/04/2013","Tremie13",31,NA,NA,4.15,NA
"02/04/2013","Tremie13",32,NA,NA,4.15,NA
"02/04/2013","Tremie13",33,NA,NA,4,NA
"02/04/2013","Tremie13",34,NA,NA,3.25,NA
"02/04/2013","Tremie13",35,NA,NA,3.75,NA
"02/04/2013","Tremie13",36,NA,NA,4.5,NA
"02/04/2013","Tremie13",37,NA,NA,3.75,NA
"02/04/2013","Tremie13",38,NA,NA,3.2,NA
"02/04/2013","Tremie13",39,NA,NA,4.1,NA
"02/04/2013","Tremie13",40,NA,NA,3.85,NA
"02/04/2013","Tremie13",41,NA,NA,3.9,NA
"02/04/2013","Tremie13",42,NA,NA,3.65,NA
"02/04/2013","Tremie13",43,NA,NA,3.55,NA
"02/04/2013","Tremie13",44,NA,NA,3.6,NA
"02/04/2013","Tremie13",45,NA,NA,3.85,NA
"29/04/2013","Tremie13",4,NA,9.15766233663242,NA,NA
"29/04/2013","Tremie13",5,NA,9.16589232128216,NA,NA
"29/04/2013","Tremie13",6,NA,9.41820649451552,NA,NA
"29/04/2013","Tremie13",7,NA,NA,NA,NA
"29/04/2013","Tremie13",8,NA,9.43166613429651,NA,NA
"29/04/2013","Tremie13",9,NA,9.42950799108454,NA,NA
"29/04/2013","Tremie13",10,NA,9.59124514050014,NA,NA
"29/04/2013","Tremie13",11,NA,9.23977134649934,NA,NA
"29/04/2013","Tremie13",12,NA,9.62178911278623,NA,NA
"29/04/2013","Tremie13",13,NA,9.44983357915367,NA,NA
"29/04/2013","Tremie13",14,NA,9.32567887176065,NA,NA
"29/04/2013","Tremie13",15,NA,9.41608048830671,NA,NA
"29/04/2013","Tremie13",16,NA,9.44234487644271,NA,NA
"29/04/2013","Tremie13",17,NA,9.53099614350332,NA,NA
"29/04/2013","Tremie13",18,NA,NA,NA,NA
"29/04/2013","Tremie13",19,NA,NA,NA,NA
"29/04/2013","Tremie13",20,NA,NA,NA,NA
"29/04/2013","Tremie13",21,NA,9.42559107684833,NA,NA
"29/04/2013","Tremie13",22,NA,9.45665741577464,NA,NA
"29/04/2013","Tremie13",23,NA,NA,NA,NA
"29/04/2013","Tremie13",24,NA,9.51918730196822,NA,NA
"29/04/2013","Tremie13",25,NA,9.38692942149254,NA,NA
"29/04/2013","Tremie13",26,NA,9.50443630968707,NA,NA
"29/04/2013","Tremie13",27,NA,NA,NA,NA
"29/04/2013","Tremie13",28,NA,9.47272631503968,NA,NA
"29/04/2013","Tremie13",29,NA,9.52320241501157,NA,NA
"29/04/2013","Tremie13",30,NA,9.42503590710083,NA,NA
