date;var;TT;TT_depuis_montaison_811,4;rep;N;Axis;Nflig;Nfvis;nff;length_F1;length_F2;length_F3;length_F4;length_F5;length_F6;length_F7;length_F8;length_F9;length_F10;length_F11;length_F12;sen_F6;sen_F7;sen_F8;sen_F9;sen_F10;sen_F11;sen_F12;HS;SSI
02/05/2013;Tremie;1048,8;237,4;2;23;MB;9;1;11;;;;;;10,1;12,2;18,1;21,9;8,7;;;100;30;0;0;;;;9,375;6,675
02/05/2013;Tremie;1048,8;237,4;2;26;MB;9;1;11;;;;;;11,6;14,6;16,5;20,6;8,9;;;100;90;10;0;0;;;9,445;6,445
02/05/2013;Tremie;1048,8;237,4;2;27;MB;9;1;11;;;;;;11,1;12,8;15,5;20,9;20,1;;;100;80;2;0;0;;;9,8375;6,6575
02/05/2013;Tremie;1048,8;237,4;2;28;MB;9;1;11;;;;;;10,7;13,0;17,4;21,6;8,7;;;100;20;0;0;0;;;9,386666667;5,586666667
02/05/2013;Tremie;1048,8;237,4;3;31;MB;9;1;11;;;;;;;14,1;18,2;22;19;;;100;55;5;0;0;;;9,739299611;6,339299611
02/05/2013;Tremie;1048,8;237,4;3;32;MB;9;1;11;;;;;;;;18,3;22,4;18,2;;;100;50;5;0;0;;;9,736842105;6,286842105
02/05/2013;Tremie;1048,8;237,4;3;33;MB;9;1;11;;;;;;;;17,2;21,6;14,8;;;100;50;5;0;0;;;9,675799087;6,225799087
02/05/2013;Tremie;1048,8;237,4;3;34;MB;9;1;11;;;;;;8,7;11,8;15,5;21,7;25;;;100;70;25;0;0;;;10,00806452;6,958064516
02/05/2013;Tremie;1048,8;237,4;3;35;MB;9;1;11;;;;;;12,3;16,4;20,0;22,5;13,5;;;100;30;5;0;0;;;9,574468085;5,924468085
02/05/2013;Tremie;1048,8;237,4;3;36;MB;9;1;11;;;;;;12,4;14,7;17,4;20,7;15,2;;;100;35;5;0;0;;;9,666666667;6,066666667
02/05/2013;Tremie;1048,8;237,4;3;37;MB;9;1;11;;;;;;;12,6;15,8;22;24,4;;;100;85;25;5;0;;;10;7,15
02/05/2013;Tremie;1048,8;237,4;3;38;MB;9;1;11;;;;;;11,9;14,8;18,1;21,8;11,2;;;100;30;2;0;0;;;9,497777778;5,817777778
02/05/2013;Tremie;1048,8;237,4;3;39;MB;9;1;11;;;;;;12,4;15,2;18,1;21;13,8;;;100;25;2;0;0;;;9,616071429;5,886071429
02/05/2013;Tremie;1048,8;237,4;3;40;MB;9;1;11;;;;;;;;19,0;22,2;10,5;;;100;40;10;0;0;;;9,46460177;5,96460177
02/05/2013;Tremie;1048,8;237,4;3;41;MB;9;1;11;;;;;;;14,4;17,9;21,7;13,6;;;100;50;10;0;0;;;9,581196581;6,181196581
02/05/2013;Tremie;1048,8;237,4;3;42;MB;9;1;11;;;;;;;13,8;16,5;20,4;16,8;;;100;20;0;0;0;;;9,717948718;5,917948718
02/05/2013;Tremie;1048,8;237,4;3;43;MB;9;1;11;;;;;;12,2;15,2;19,9;23;9;;;100;10;0;0;0;;;9,418604651;5,518604651
02/05/2013;Tremie;1048,8;237,4;3;44;MB;9;1;11;;;;;;13,5;16,2;20,9;23;11,5;;;80;10;2;0;0;;;9,515695067;5,435695067
02/05/2013;Tremie;1048,8;237,4;3;45;MB;9;1;11;;;;;;10,8;13,6;18,6;22,9;15,1;;;100;25;5;0;0;;;9,629166667;5,929166667
02/05/2013;Tremie;1048,8;237,4;1;1;MB;9;1;12;;;;;;10,7;13,1;16,8;21,1;22,3;;;100;90;5;0;0;;;9,925311203;6,875311203
02/05/2013;Tremie;1048,8;237,4;1;7;MB;9;2;12;;;;;;;12,0;15,0;19,3;21,7;8,5;;100;90;10;0;0;;;9,981900452;6,981900452
02/05/2013;Tremie;1048,8;237,4;1;8;MB;9;2;12;;;;;;8,0;10,0;13,0;18,5;22;8,7;;100;100;10;10;0;;;10;7,2
02/05/2013;Tremie;1048,8;237,4;1;10;MB;9;2;12;;;;;;;12,2;15,5;19,6;22,2;9,9;;100;100;10;0;0;;;10,00909091;7,109090909
02/05/2013;Tremie;1048,8;237,4;1;12;MB;9;2;12;;;;;;9,2;11,1;14,4;19,5;23,2;7,2;;100;100;5;0;0;;;9,995708155;7,045708155
02/05/2013;Tremie;1048,8;237,4;1;15;MB;9;2;12;;;;;;10,2;12,6;16,5;21,1;23,4;6;;100;50;2;0;0;;;10,03539823;6,55539823
02/05/2013;Tremie;1048,8;237,4;2;18;MB;9;1;12;;;;;;8,3;9,5;13,5;18,9;20,9;;;100;100;5;0;0;;;9,958715596;7,008715596
02/05/2013;Tremie;1048,8;237,4;2;20;MB;9;2;12;;;;;;10,4;11,5;14,5;20,4;21,3;7,3;;100;60;5;0;0;;;10,02403846;6,674038462
02/05/2013;Tremie;1048,8;237,4;2;22;MB;9;2;12;;;;;;10,4;12,2;16,6;20,6;23,6;6;;100;50;5;0;0;;;9,991596639;6,541596639
02/05/2013;Tremie;1048,8;237,4;2;24;MB;9;1;12;;;;;;;11,8;14,9;19,4;21,6;;;100;90;5;0;0;;;9,964285714;6,914285714
02/05/2013;Tremie;1048,8;237,4;2;25;MB;9;2;12;;;;;;10,6;12,9;15,6;19;22,4;3,9;;100;50;5;0;0;;;9,995555556;6,545555556
02/05/2013;Tremie;1048,8;237,4;2;29;MB;9;2;12;;;;;;10,0;13,2;17,0;20;23,3;8,5;;100;35;5;0;0;;;10,01746725;6,417467249
02/05/2013;Tremie;1048,8;237,4;2;30;MB;9;1;12;;;;;;9,1;11,4;15,5;19,6;22,2;;;100;75;100;0;0;;;9,940677966;7,690677966
22/05/2013;Tremie;1284,4;473;1;2;MB;11;0;11;;;;;;;;18,5;24,3;25,7;16,5;;100;100;60;1;0;0;;11;7,61
22/05/2013;Tremie;1284,4;473;1;3;MB;11;0;11;;;;;;;;17,5;22,5;26,4;16,0;;100;100;60;0;0;0;;11;7,6
22/05/2013;Tremie;1284,4;473;1;4;MB;11;0;11;;;;;;;;17,8;23,1;21,7;14,0;;100;100;20;0;0;0;;11;7,2
