id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
73,6,T1.0,7,6.22716642737,1286.0,1886.0,6070,607,NA,402.555105628,610.738957883,950.965377313,1341.31010029
73,6,T3,7,6.21948091295,1285.0,1885.0,6070,607,NA,402.555105628,610.738957883,950.965377313,1341.31010029
73,7,T1.1,6,4.24374125054,1160.0,1760.0,7050,706,NA,540.029192048,746.429000967,1075.11204505,1462.11168677
74,1,MS,12,12.0,NA,NA,1121,112,1.0,0.629269735249,176.836731093,660.855977765,991.244967811
74,4,T1,9,9.0,NA,NA,4091,409,1.0,301.30007048,482.460563388,745.662162364,1085.33808657
74,6,T1.0,8,6.71272315854,1240.0,1840.0,6070,608,NA,409.148347794,591.309218517,866.223080449,1207.77471305
74,6,T3,8,6.71272315854,1240.0,1840.0,6070,608,NA,409.148347794,591.309218517,866.223080449,1207.77471305
74,7,T4,7,4.59831795413,1121.0,1721.0,7050,707,NA,547.92094876,724.835070691,998.578835705,1330.29281432
75,1,MS,11,11.0,NA,NA,1111,111,1.0,-13.1830505792,179.043270902,657.572570855,1017.99692363
75,5,T2,7,3.4127530784,1067.0,1667.0,5040,507,NA,703.438735471,845.969060669,990.773587937,1258.01794768
75,7,T4,7,4.94198752294,1159.0,1759.0,7050,707,NA,540.115700992,717.029822922,990.773587937,1322.48756656
76,1,MS,11,11.0,NA,NA,1111,111,1.0,-12.2911148184,179.935206663,658.464506615,1018.88885939
76,4,T1,8,8.0,NA,NA,4081,408,1.0,285.894860368,489.70041489,785.802213737,1167.93762847
76,5,T2,7,3.37907603463,1064.0,1664.0,5040,507,NA,704.330671232,846.86099643,991.665523698,1258.90988344
76,6,T1.0,7,6.73441037956,1352.0,1952.0,6070,607,NA,392.476417712,600.660269967,940.886689397,1331.23141237
76,6,T3,7,6.72672486514,1351.0,1951.0,6070,607,NA,392.476417712,600.660269967,940.886689397,1331.23141237
76,7,T4,7,4.89676784283,1154.0,1754.0,7050,707,NA,541.007636753,717.921758683,991.665523698,1323.37950232
77,1,MS,12,12.0,NA,NA,1121,112,1.0,-10.1290928364,166.078368522,650.097615193,980.48660524
77,4,T1,9,9.0,NA,NA,4091,409,1.0,290.541707909,471.702200817,734.903799793,1074.579724
77,5,T2,9,3.98370086129,1039.0,1639.0,5040,509,NA,712.363147767,823.220067366,924.070042144,1131.92676639
77,6,T1.0,7,6.80358000941,1361.0,1961.0,6070,607,NA,388.631367148,596.815219402,937.041638832,1327.38636181
77,6,T3,8,7.30121397753,1307.0,1907.0,6080,608,NA,398.389985222,580.550855945,855.464717877,1197.01635048
77,7,T2.0,8,6.00941897166,1133.0,1733.0,7070,708,NA,545.455435654,700.255292343,948.540411301,1238.79014259
78,1,MS,11,11.0,NA,NA,1111,111,1.0,-0.471251370755,191.755070111,670.284370063,1030.70872284
78,4,T1,8,8.0,NA,NA,4081,408,1.0,297.714723816,501.520278337,797.622077185,1179.75749191
78,5,T2,7,2.93004878438,1024.0,1624.0,5030,507,NA,716.15053468,858.680859877,1003.48538715,1270.72974689
78,6,T1.0,7,6.08114165326,1267.0,1867.0,6070,607,NA,404.29628116,612.480133414,952.706552844,1343.05127582
78,7,T4,7,4.42648316972,1102.0,1702.0,7050,707,NA,552.827500201,729.741622131,1003.48538715,1335.19936576
79,1,MS,12,12.0,NA,NA,1121,112,1.0,4.10044886072,180.307910219,664.327156891,994.716146937
79,4,T1,9,9.0,NA,NA,4091,409,1.0,304.771249606,485.931742514,749.13334149,1088.80926569
79,5,T2,8,3.09204018201,1004.0,1604.0,5040,508,NA,721.396271358,846.110305907,962.769952998,1196.60876778
79,6,T1.0,8,6.53705425735,1220.0,1820.0,6070,608,NA,412.619526919,594.780397642,869.694259574,1211.24589218
79,6,T3,8,6.53705425735,1220.0,1820.0,6070,608,NA,412.619526919,594.780397642,869.694259574,1211.24589218
79,7,T4,7,4.48979072187,1109.0,1709.0,7050,707,NA,551.392127886,728.306249816,1002.05001483,1333.76399345
80,1,MS,11,11.0,NA,NA,1111,111,1.0,-6.90358333672,185.322738145,663.852038097,1024.27639087
80,4,T1,8,8.0,NA,NA,4081,408,1.0,291.28239185,495.087946371,791.189745219,1173.32515995
80,5,T2,8,3.32296848214,1022.0,1622.0,5040,508,NA,716.399311707,841.113346255,957.772993347,1191.61180812
80,6,T1.0,7,6.42698980248,1312.0,1912.0,6070,607,NA,397.863949194,606.047801448,946.274220878,1336.61894386
80,6,T3,7,6.42698980248,1312.0,1912.0,6070,607,NA,397.863949194,606.047801448,946.274220878,1336.61894386
80,7,T1.1,6,4.37552431827,1177.0,1777.0,7050,706,NA,535.338035614,741.737844533,1070.42088861,1457.42053034
81,1,MS,12,12.0,NA,NA,1121,112,1.0,2.46106756865,178.668528927,662.687775598,993.076765645
81,4,T1,9,9.0,NA,NA,4091,409,1.0,303.131868314,484.292361222,747.493960198,1087.1698844
81,5,T2,8,3.16901628205,1010.0,1610.0,5040,508,NA,719.756890066,844.470924614,961.130571706,1194.96938648
