index,axe,hins,rank,ranktop,plant,inerv,x,y,variety_name,side,harvest,relative_ranktop
16,MS,3.36733940931,3,10.0,18,8539,6.28121034721,2.68809671035,Tremie12,1,1,6
17,MS,3.36733940931,3,10.0,18,8539,6.70150597217,2.77830438704,Tremie12,1,1,6
18,MS,3.36733940931,3,10.0,18,8539,7.12180159714,2.86851206372,Tremie12,1,1,6
19,MS,3.36733940931,3,10.0,18,8539,7.54209722211,2.9587197404,Tremie12,1,1,6
0,MS,2.84430071697,1,13.0,22,10284,-0.00684864491674,-0.0262812408788,Tremie12,1,1,8
1,MS,2.84430071697,1,13.0,22,10284,0.34180654709,0.224478474162,Tremie12,1,1,8
2,MS,2.84430071697,1,13.0,22,10284,0.690461739097,0.475238189203,Tremie12,1,1,8
3,MS,2.84430071697,1,13.0,22,10284,1.0391169311,0.725997904243,Tremie12,1,1,8
4,MS,2.84430071697,1,13.0,22,10284,1.40143665445,0.953145466659,Tremie12,1,1,8
5,MS,2.84430071697,1,13.0,22,10284,1.79256845997,1.13050608323,Tremie12,1,1,8
6,MS,2.84430071697,1,13.0,22,10284,2.18370026549,1.30786669981,Tremie12,1,1,8
7,MS,2.84430071697,1,13.0,22,10284,2.57483207101,1.48522731638,Tremie12,1,1,8
8,MS,2.84430071697,1,13.0,22,10284,2.96837009107,1.65617433378,Tremie12,1,1,8
9,MS,2.84430071697,1,13.0,22,10284,3.37964144157,1.77985438012,Tremie12,1,1,8
10,MS,2.84430071697,1,13.0,22,10284,3.79609532698,1.88074049303,Tremie12,1,1,8
11,MS,2.84430071697,1,13.0,22,10284,4.22041215044,1.94704366739,Tremie12,1,1,8
12,MS,2.84430071697,1,13.0,22,10284,4.6447289739,2.01334684175,Tremie12,1,1,8
13,MS,2.84430071697,1,13.0,22,10284,5.06904579736,2.07965001611,Tremie12,1,1,8
14,MS,2.84430071697,1,13.0,22,10284,5.49336262082,2.14595319047,Tremie12,1,1,8
15,MS,2.84430071697,1,13.0,22,10284,5.91780830832,2.21084567886,Tremie12,1,1,8
16,MS,2.84430071697,1,13.0,22,10284,6.34711541653,2.22251977156,Tremie12,1,1,8
17,MS,2.84430071697,1,13.0,22,10284,6.77642252474,2.23419386426,Tremie12,1,1,8
18,MS,2.84430071697,1,13.0,22,10284,7.20564434014,2.22178772712,Tremie12,1,1,8
19,MS,2.84430071697,1,13.0,22,10284,7.63485797749,2.20707273093,Tremie12,1,1,8
0,MS,3.36735243236,4,10.0,1,46,-0.0314648229268,0.0463860426603,Tremie12,1,1,5
1,MS,3.36735243236,4,10.0,1,46,0.335603101642,0.270097857395,Tremie12,1,1,5
2,MS,3.36735243236,4,10.0,1,46,0.702671026211,0.493809672129,Tremie12,1,1,5
3,MS,3.36735243236,4,10.0,1,46,1.06973895078,0.717521486864,Tremie12,1,1,5
4,MS,3.36735243236,4,10.0,1,46,1.45535834918,0.907180955701,Tremie12,1,1,5
5,MS,3.36735243236,4,10.0,1,46,1.84236940173,1.09428595964,Tremie12,1,1,5
6,MS,3.36735243236,4,10.0,1,46,2.22938045429,1.28139096358,Tremie12,1,1,5
7,MS,3.36735243236,4,10.0,1,46,2.61639150684,1.46849596752,Tremie12,1,1,5
8,MS,3.36735243236,4,10.0,1,46,3.00739886199,1.64653016374,Tremie12,1,1,5
9,MS,3.36735243236,4,10.0,1,46,3.40665956921,1.80583090125,Tremie12,1,1,5
10,MS,3.36735243236,4,10.0,1,46,3.80961950178,1.95543144154,Tremie12,1,1,5
11,MS,3.36735243236,4,10.0,1,46,4.21657106343,2.09350672538,Tremie12,1,1,5
12,MS,3.36735243236,4,10.0,1,46,4.62729216115,2.22036892302,Tremie12,1,1,5
13,MS,3.36735243236,4,10.0,1,46,5.03801325887,2.34723112065,Tremie12,1,1,5
14,MS,3.36735243236,4,10.0,1,46,5.44873435659,2.47409331829,Tremie12,1,1,5
15,MS,3.36735243236,4,10.0,1,46,5.86388111174,2.58531016533,Tremie12,1,1,5
16,MS,3.36735243236,4,10.0,1,46,6.28121034721,2.68809671035,Tremie12,1,1,5
17,MS,3.36735243236,4,10.0,1,46,6.70150597218,2.77830438704,Tremie12,1,1,5
18,MS,3.36735243236,4,10.0,1,46,7.12180159714,2.86851206372,Tremie12,1,1,5
19,MS,3.36735243236,4,10.0,1,46,7.54209722211,2.9587197404,Tremie12,1,1,5
