variety;date;bloc;plant;axis;num_leaf_bottom;num_leaf_top;fnl;green;necro_tot;length;green_length;senesced_length
tremie;04/02/2012;1;2;MS;9;4;;100;0;18.8;18.8;0
tremie;04/02/2012;1;3;MS;9;4;;100;0;18.3;18.3;0
tremie;04/02/2012;1;4;MS;9;5;;100;0;19.4;19.4;0
tremie;04/02/2012;1;5;MS;9;5;;100;0;17;17;0
tremie;04/02/2012;1;6;MS;9;5;;100;0;17.9;17.9;0
tremie;04/02/2012;1;7;MS;9;5;;100;0;17.8;17.8;0
tremie;04/02/2012;1;8;MS;9;4;;100;0;19.2;19.2;0
tremie;04/02/2012;1;9;MS;9;5;;100;0;14.5;14.5;0
tremie;04/02/2012;1;10;MS;9;5;;100;0;17.8;17.8;0
tremie;04/02/2012;2;11;MS;9;5;;100;0;18;18;0
tremie;04/02/2012;2;12;MS;9;4;;100;0;19.5;19.5;0
tremie;04/02/2012;2;13;MS;9;4;;95;5;18.5;17.575;0.925
tremie;04/02/2012;2;14;MS;9;4;;100;0;19;19;0
tremie;04/02/2012;2;15;MS;9;4;;;;19.1;0;19.1
tremie;04/02/2012;2;16;MS;9;4;;100;0;20;20;0
tremie;04/02/2012;2;17;MS;9;5;;100;0;16.5;16.5;0
tremie;04/02/2012;2;18;MS;9;5;;100;0;13.5;13.5;0
tremie;04/02/2012;2;19;MS;9;5;;100;0;17.5;17.5;0
tremie;04/02/2012;2;20;MS;9;4;;100;0;19.5;19.5;0
tremie;04/02/2012;3;21;MS;9;5;;100;0;19.4;19.4;0
tremie;04/02/2012;3;22;MS;9;5;;100;0;18;18;0
tremie;04/02/2012;3;23;MS;9;4;;100;0;19.6;19.6;0
tremie;04/02/2012;3;24;MS;9;5;;100;0;16.2;16.2;0
tremie;04/02/2012;3;25;MS;9;5;;100;0;17.1;17.1;0
tremie;04/02/2012;3;26;MS;9;5;;100;0;17.2;17.2;0
tremie;04/02/2012;3;27;MS;9;5;;100;0;21.3;21.3;0
tremie;04/02/2012;3;28;MS;9;5;;100;0;17.1;17.1;0
tremie;04/02/2012;3;29;MS;9;5;;100;0;19.5;19.5;0
tremie;04/02/2012;3;30;MS;9;5;;100;0;17.1;17.1;0
tremie;04/02/2012;1;1;MS;10;3;;;;22;22;0
tremie;04/02/2012;1;2;MS;10;3;;;;19.2;19.2;0
tremie;04/02/2012;1;3;MS;10;3;;;;23.9;23.9;0
tremie;04/02/2012;1;4;MS;10;4;;;;21.5;21.5;0
tremie;04/02/2012;1;5;MS;10;4;;;;16.2;16.2;0
tremie;04/02/2012;1;6;MS;10;4;;;;22;22;0
tremie;04/02/2012;1;7;MS;10;4;;;;20.8;20.8;0
tremie;04/02/2012;1;8;MS;10;3;;;;17.7;17.7;0
tremie;04/02/2012;1;9;MS;10;4;;;;11.5;11.5;0
tremie;04/02/2012;1;10;MS;10;4;;;;17.9;17.9;0
tremie;04/02/2012;2;11;MS;10;4;;;;20.3;20.3;0
tremie;04/02/2012;2;12;MS;10;3;;;;26;26;0
tremie;04/02/2012;2;13;MS;10;3;;;;14.2;14.2;0
tremie;04/02/2012;2;14;MS;10;3;;;;25;25;0
tremie;04/02/2012;2;15;MS;10;3;;;;24.2;24.2;0
tremie;04/02/2012;2;16;MS;10;3;;;;25.5;25.5;0
tremie;04/02/2012;2;17;MS;10;4;;;;21.2;21.2;0
tremie;04/02/2012;2;18;MS;10;4;;;;16.3;16.3;0
tremie;04/02/2012;2;19;MS;10;4;;;;17.3;17.3;0
tremie;04/02/2012;2;20;MS;10;3;;;;24.2;24.2;0
tremie;04/02/2012;3;21;MS;10;4;;;;23.3;23.3;0
tremie;04/02/2012;3;22;MS;10;4;;;;25;25;0
tremie;04/02/2012;3;23;MS;10;3;;;;26.5;26.5;0
tremie;04/02/2012;3;24;MS;10;4;;;;20.2;20.2;0
tremie;04/02/2012;3;25;MS;10;4;;;;23.4;23.4;0
tremie;04/02/2012;3;26;MS;10;4;;;;14.2;14.2;0
tremie;04/02/2012;3;27;MS;10;4;;;;21.5;21.5;0
tremie;04/02/2012;3;28;MS;10;4;;;;23;23;0
tremie;04/02/2012;3;29;MS;10;4;;;;20.3;20.3;0
tremie;04/02/2012;3;30;MS;10;4;;;;22;22;0
tremie;04/02/2012;1;6;MS;11;3;;;;15.5;15.5;0
tremie;04/02/2012;1;7;MS;11;3;;;;12.9;12.9;0
tremie;04/02/2012;2;11;MS;11;3;;;;15.3;15.3;0
tremie;04/02/2012;2;15;MS;11;2;;;;13.5;13.5;0
tremie;04/02/2012;2;17;MS;11;3;;;;16;16;0
tremie;04/02/2012;2;18;MS;11;3;;;;12.4;12.4;0
tremie;04/02/2012;2;20;MS;11;2;;;;13;13;0
tremie;04/02/2012;3;22;MS;11;3;;;;13;13;0
tremie;04/02/2012;3;23;MS;11;2;;;;12.1;12.1;0
tremie;04/02/2012;3;24;MS;11;3;;;;14;14;0
tremie;04/02/2012;3;29;MS;11;3;;;;5.5;5.5;0
tremie;04/02/2012;3;30;MS;11;3;;;;12.6;12.6;0
tremie;04/11/2012;1;1;MS;1;12;;0;100;;;
tremie;04/11/2012;1;2;MS;1;12;;0;100;;;
tremie;04/11/2012;1;3;MS;1;12;;0;100;;;
tremie;04/11/2012;1;4;MS;1;13;;0;100;;;
tremie;04/11/2012;1;5;MS;1;13;;0;100;;;
tremie;04/11/2012;1;6;MS;1;13;;0;100;;;
tremie;04/11/2012;1;7;MS;1;13;;0;100;;;
tremie;04/11/2012;1;8;MS;1;12;;0;100;;;
tremie;04/11/2012;1;9;MS;1;13;;0;100;;;
tremie;04/11/2012;1;10;MS;1;13;;0;100;;;
tremie;04/11/2012;2;11;MS;1;13;;0;100;;;
tremie;04/11/2012;2;12;MS;1;12;;0;100;;;
tremie;04/11/2012;2;13;MS;1;12;;0;100;;;
tremie;04/11/2012;2;14;MS;1;12;;0;100;;;
tremie;04/11/2012;2;15;MS;1;12;;0;100;;;
tremie;04/11/2012;2;16;MS;1;12;;0;100;;;
tremie;04/11/2012;2;17;MS;1;13;;0;100;;;
tremie;04/11/2012;2;18;MS;1;13;;0;100;;;
tremie;04/11/2012;2;19;MS;1;13;;0;100;;;
tremie;04/11/2012;2;20;MS;1;12;;0;100;;;
tremie;04/11/2012;3;21;MS;1;13;;0;100;;;
tremie;04/11/2012;3;22;MS;1;13;;0;100;;;
tremie;04/11/2012;3;23;MS;1;12;;0;100;;;
tremie;04/11/2012;3;24;MS;1;13;;0;100;;;
tremie;04/11/2012;3;25;MS;1;13;;0;100;;;
tremie;04/11/2012;3;26;MS;1;13;;0;100;;;
tremie;04/11/2012;3;27;MS;1;13;;0;100;;;
tremie;04/11/2012;3;28;MS;1;13;;0;100;;;
tremie;04/11/2012;3;29;MS;1;13;;0;100;;;
tremie;04/11/2012;3;30;MS;1;13;;0;100;;;
tremie;04/11/2012;1;1;MS;2;11;;0;100;;;
tremie;04/11/2012;1;2;MS;2;11;;0;100;;;
tremie;04/11/2012;1;3;MS;2;11;;0;100;;;
tremie;04/11/2012;1;4;MS;2;12;;0;100;;;
tremie;04/11/2012;1;5;MS;2;12;;0;100;;;
tremie;04/11/2012;1;6;MS;2;12;;0;100;;;
tremie;04/11/2012;1;7;MS;2;12;;0;100;;;
tremie;04/11/2012;1;8;MS;2;11;;0;100;;;
tremie;04/11/2012;1;9;MS;2;12;;0;100;;;
tremie;04/11/2012;1;10;MS;2;12;;0;100;;;
tremie;04/11/2012;2;11;MS;2;12;;0;100;;;
tremie;04/11/2012;2;12;MS;2;11;;0;100;;;
tremie;04/11/2012;2;13;MS;2;11;;0;100;;;
tremie;04/11/2012;2;14;MS;2;11;;0;100;;;
tremie;04/11/2012;2;15;MS;2;11;;0;100;;;
tremie;04/11/2012;2;16;MS;2;11;;0;100;;;
tremie;04/11/2012;2;17;MS;2;12;;0;100;;;
tremie;04/11/2012;2;18;MS;2;12;;0;100;;;
